"","Risk of Failure to Appear_decile_score","Risk of Failure to Appear_raw_score","Risk of Failure to Appear_score_text","Risk of Recidivism_decile_score","Risk of Recidivism_raw_score","Risk of Recidivism_score_text","Risk of Violence_decile_score","Risk of Violence_raw_score","Risk of Violence_score_text","recid","recid_violent","recid_proPub","recid_violent_proPub","uid"
"60","9","32","High","9","0.42","High","10","-0.45","High",0,0,0,0,"76_2014-10-24"
"61","3","18","Low","6","-0.28","Medium","4","-2.21","Low",0,0,0,0,"78_2014-11-03"
"62","6","25","Medium","5","-0.43","Medium","7","-1.45","Medium",0,0,1,0,"79_2013-03-18"
"63","1","12","Low","4","-0.6","Low","4","-2.04","Low",1,0,1,0,"80_2013-09-18"
"64","2","16","Low","5","-0.46","Medium","3","-2.51","Low",0,0,0,0,"81_2014-11-08"
"65","1","15","Low","8","0.09","High","2","-2.71","Low",0,0,0,0,"82_2014-07-30"
"66","1","15","Low","7","-0.01","Medium","3","-2.36","Low",0,0,0,0,"83_2013-01-20"
"67","1","13","Low","1","-2.05","Low","1","-3.38","Low",0,0,0,0,"84_2013-08-27"
"68","1","11","Low","1","-1.84","Low","1","-3.18","Low",0,0,0,0,"86_2014-12-03"
"69","1","14","Low","3","-0.93","Low","2","-2.94","Low",0,0,0,0,"87_2013-02-11"
"70","1","13","Low","1","-1.84","Low","1","-3.25","Low",0,0,0,0,"89_2014-04-14"
"71","3","20","Low","10","0.69","High","9","-0.9","High",1,0,1,0,"90_2014-08-30"
"72","2","16","Low","2","-1.11","Low","2","-2.7","Low",1,0,1,0,"91_2013-02-04"
"73","4","21","Low","6","-0.17","Medium","3","-2.41","Low",0,0,0,0,"92_2013-03-21"
"74","1","13","Low","4","-0.62","Low","6","-1.61","Medium",1,0,1,0,"93_2013-11-16"
"75","1","11","Low","1","-1.88","Low","1","-3.31","Low",0,0,0,0,"94_2014-07-30"
"76","5","23","Medium","9","0.44","High","5","-1.8","Medium",1,1,1,0,"96_2013-01-26"
"77","6","24","Medium","8","0.16","High","6","-1.55","Medium",0,0,NA,NA,"96_2013-08-25"
"78","1","12","Low","1","-1.98","Low","1","-3.88","Low",0,0,0,0,"97_2013-01-08"
"79","3","18","Low","6","-0.25","Medium","3","-2.32","Low",1,0,1,0,"98_2014-04-30"
"80","2","17","Low","5","-0.33","Medium","4","-2.04","Low",0,0,NA,NA,"98_2014-11-10"
"81","1","11","Low","1","-1.88","Low","1","-3.24","Low",0,0,0,0,"99_2014-03-09"
"82","1","13","Low","1","-2.57","Low","1","-4.15","Low",0,0,0,0,"100_2013-09-28"
"83","1","13","Low","1","-2.08","Low","1","-3.55","Low",1,1,1,1,"101_2013-01-13"
"84","3","18","Low","1","-1.97","Low","1","-3.62","Low",0,0,NA,NA,"101_2014-02-02"
"85","1","14","Low","4","-0.52","Low","6","-1.59","Medium",0,0,0,0,"102_2013-05-25"
"86","1","14","Low","3","-1.2","Low","2","-2.62","Low",0,0,0,0,"103_2014-11-08"
"87","5","22","Medium","4","-0.56","Low","4","-2.03","Low",0,0,0,0,"104_2013-01-09"
"88","1","14","Low","6","-0.22","Medium","4","-2.03","Low",0,0,0,0,"106_2014-09-21"
"89","2","16","Low","6","-0.24","Medium","3","-2.36","Low",1,1,1,0,"107_2013-01-07"
"90","2","17","Low","6","-0.26","Medium","3","-2.48","Low",1,1,NA,NA,"107_2013-09-18"
"91","1","11","Low","3","-0.91","Low","3","-2.38","Low",1,0,1,0,"113_2013-08-25"
"92","3","18","Low","8","0.09","High","6","-1.56","Medium",0,0,0,0,"114_2013-02-19"
"93","2","16","Low","4","-0.98","Low","3","-2.32","Low",1,1,1,1,"115_2013-11-08"
"94","4","21","Low","2","-1.36","Low","1","-3.05","Low",0,0,0,0,"119_2013-03-04"
"95","1","12","Low","1","-2.53","Low","1","-4.05","Low",0,0,0,0,"121_2014-04-26"
"96","7","26","Medium","10","0.78","High","9","-0.74","High",1,0,1,1,"122_2013-02-21"
"97","8","29","High","10","0.93","High","10","-0.56","High",1,1,NA,NA,"122_2013-04-18"
"98","8","29","High","5","-0.46","Medium","1","-3.24","Low",0,0,0,0,"124_2014-07-17"
"99","2","16","Low","6","-0.19","Medium","5","-1.78","Medium",1,0,0,0,"126_2014-06-24"
"100","1","13","Low","1","-1.64","Low","2","-2.84","Low",1,0,1,0,"127_2014-08-07"
"101","1","11","Low","5","-0.33","Medium","8","-1.21","High",1,1,1,1,"130_2013-10-03"
"102","2","16","Low","9","0.39","High","10","-0.57","High",1,1,1,0,"131_2014-01-16"
"103","5","23","Medium","7","0.03","Medium","6","-1.54","Medium",1,0,1,0,"137_2014-04-29"
"104","3","19","Low","8","0.15","High","4","-2.15","Low",1,0,1,0,"138_2013-01-12"
"105","1","15","Low","6","-0.21","Medium","6","-1.5","Medium",1,0,1,0,"139_2013-04-20"
"106","2","16","Low","5","-0.32","Medium","4","-1.98","Low",0,0,0,0,"141_2014-12-16"
"107","2","17","Low","8","0.21","High","9","-0.91","High",1,1,1,1,"142_2014-12-13"
"108","7","27","Medium","3","-0.92","Low","2","-2.89","Low",0,0,0,0,"144_2014-12-04"
"109","2","16","Low","7","-0.23","Medium","8","-1.22","High",0,0,0,0,"145_2013-11-14"
"110","1","14","Low","1","-1.53","Low","1","-3.23","Low",1,1,1,0,"146_2013-02-13"
"111","1","12","Low","1","-2.36","Low","1","-4.03","Low",0,0,0,0,"148_2013-04-15"
"112","1","12","Low","1","-2.2","Low","1","-3.71","Low",0,0,0,0,"150_2013-08-20"
"113","1","13","Low","4","-0.72","Low","7","-1.45","Medium",1,1,1,1,"151_2014-11-14"
"114","6","24","Medium","2","-1.09","Low","2","-2.64","Low",0,0,0,0,"153_2013-09-09"
"115","2","16","Low","1","-1.94","Low","1","-3.41","Low",1,1,1,1,"154_2013-09-05"
"116","3","18","Low","3","-1.25","Low","1","-3.03","Low",0,0,0,0,"155_2014-11-25"
"117","5","23","Medium","6","-0.15","Medium","6","-1.52","Medium",1,1,1,0,"156_2013-04-11"
"118","1","14","Low","4","-0.66","Low","2","-2.58","Low",0,0,0,0,"157_2013-08-29"
"119","5","23","Medium","5","-0.51","Medium","2","-2.68","Low",0,0,0,0,"158_2014-02-21"
"120","4","21","Low","4","-0.96","Low","3","-2.28","Low",0,0,0,0,"159_2013-02-26"
"121","5","22","Medium","6","-0.17","Medium","3","-2.4","Low",0,0,0,0,"161_2014-05-08"
"122","3","18","Low","3","-1.11","Low","4","-2.21","Low",0,0,0,0,"162_2014-06-05"
"123","5","23","Medium","1","-1.47","Low","1","-3.34","Low",0,0,0,0,"163_2013-08-15"
"124","3","19","Low","9","0.47","High","6","-1.68","Medium",0,0,0,0,"164_2014-10-16"
"125","1","12","Low","4","-0.82","Low","4","-2.05","Low",0,0,0,0,"165_2014-09-20"
"126","1","15","Low","9","0.43","High","6","-1.56","Medium",1,1,1,0,"166_2013-03-02"
"127","2","16","Low","10","0.64","High","8","-1.03","High",1,1,NA,NA,"166_2013-03-26"
"128","1","15","Low","7","-0.09","Medium","3","-2.46","Low",0,0,0,0,"167_2014-06-06"
"129","3","19","Low","8","0.13","High","6","-1.54","Medium",0,0,0,0,"168_2014-10-08"
"130","2","16","Low","4","-0.55","Low","3","-2.4","Low",1,0,1,0,"169_2013-01-16"
"131","3","19","Low","9","0.52","High","4","-2.06","Low",0,0,0,0,"170_2013-02-25"
"132","2","16","Low","5","-0.34","Medium","5","-1.9","Medium",0,0,0,0,"171_2013-02-15"
"133","1","14","Low","3","-0.89","Low","3","-2.31","Low",0,0,0,0,"172_2014-12-29"
"134","1","14","Low","5","-0.37","Medium","2","-2.63","Low",1,0,1,0,"173_2013-11-17"
"135","1","14","Low","2","-1.31","Low","1","-3.3","Low",0,0,0,0,"174_2013-11-18"
"136","1","13","Low","2","-1.04","Low","2","-2.85","Low",1,1,1,0,"175_2013-03-16"
"137","2","16","Low","3","-0.86","Low","2","-2.7","Low",0,0,NA,NA,"175_2013-03-19"
"138","6","24","Medium","9","0.53","High","7","-1.36","Medium",1,0,1,0,"176_2013-09-06"
"139","1","13","Low","4","-0.58","Low","7","-1.49","Medium",1,1,1,0,"177_2013-11-13"
"140","7","27","Medium","8","0.28","High","5","-1.88","Medium",1,0,1,0,"178_2014-01-11"
"141","2","16","Low","1","-2.04","Low","1","-3.43","Low",0,0,0,0,"179_2014-11-03"
"142","6","25","Medium","7","-0.03","Medium","8","-1.2","High",0,0,0,0,"180_2013-10-14"
"143","2","16","Low","8","0.25","High","7","-1.32","Medium",0,0,0,0,"181_2014-02-20"
"144","1","14","Low","2","-1.52","Low","2","-2.85","Low",0,0,0,0,"182_2013-10-29"
"145","4","21","Low","10","0.71","High","7","-1.45","Medium",1,1,1,1,"183_2013-02-26"
"146","5","22","Medium","9","0.34","High","4","-2.12","Low",1,0,1,0,"184_2014-11-15"
"147","1","13","Low","2","-1.31","Low","2","-2.77","Low",0,0,0,0,"185_2014-09-11"
"148","3","18","Low","1","-1.45","Low","1","-3.38","Low",0,0,0,0,"186_2014-06-06"
"149","7","26","Medium","9","0.39","High","6","-1.73","Medium",0,0,0,0,"189_2013-07-29"
"150","5","23","Medium","10","1.08","High","7","-1.44","Medium",1,1,1,0,"190_2013-12-29"
"151","9","31","High","4","-0.53","Low","1","-3.1","Low",0,0,0,0,"191_2014-07-21"
"152","4","21","Low","3","-0.86","Low","1","-3.39","Low",0,0,0,0,"194_2013-09-17"
"153","1","13","Low","1","-1.39","Low","2","-2.62","Low",0,0,0,0,"196_2014-05-29"
"154","2","17","Low","2","-1.26","Low","2","-2.7","Low",0,0,0,0,"197_2013-11-19"
"155","1","11","Low","5","-0.51","Medium","6","-1.67","Medium",0,0,0,0,"201_2014-07-07"
"156","1","11","Low","2","-1.11","Low","3","-2.5","Low",1,1,1,0,"202_2014-12-19"
"157","1","11","Low","2","-1.45","Low","3","-2.49","Low",0,0,0,0,"203_2014-02-07"
"158","1","15","Low","9","0.57","High","8","-1","High",0,0,0,0,"205_2013-10-22"
"159","1","13","Low","4","-0.86","Low","2","-2.66","Low",1,1,1,0,"206_2014-11-19"
"160","1","13","Low","3","-1.04","Low","3","-2.31","Low",0,0,0,0,"207_2014-04-26"
"161","2","17","Low","2","-1.14","Low","1","-2.95","Low",1,1,1,0,"208_2014-01-27"
"162","6","25","Medium","7","-0.06","Medium","3","-2.51","Low",1,0,1,0,"210_2013-01-02"
"163","1","15","Low","4","-0.73","Low","1","-3.51","Low",0,0,0,0,"211_2014-05-25"
"164","2","17","Low","2","-1.2","Low","1","-3.32","Low",0,0,0,0,"212_2014-11-29"
"165","1","12","Low","3","-1","Low","3","-2.54","Low",1,1,1,0,"213_2013-09-05"
"166","1","14","Low","2","-1.28","Low","3","-2.29","Low",0,0,1,0,"215_2013-01-17"
"167","1","13","Low","2","-1.12","Low","1","-3.38","Low",1,0,1,0,"216_2013-04-02"
"168","4","21","Low","10","1.08","High","8","-1.04","High",0,0,0,0,"217_2014-02-28"
"169","1","13","Low","3","-0.82","Low","3","-2.3","Low",0,0,0,0,"219_2014-11-10"
"170","2","16","Low","1","-2.13","Low","1","-3.71","Low",0,0,0,0,"222_2013-05-14"
"171","4","21","Low","8","0.21","High","4","-1.98","Low",1,1,1,0,"223_2014-04-19"
"172","4","21","Low","6","-0.25","Medium","5","-1.86","Medium",1,1,1,1,"224_2014-12-19"
"173","5","23","Medium","5","-0.48","Medium","2","-2.65","Low",1,1,1,1,"225_2013-12-26"
"174","1","11","Low","3","-1.29","Low","2","-2.93","Low",1,0,1,0,"227_2014-10-23"
"175","9","29","High","9","0.21","High","9","-0.83","High",1,0,1,0,"228_2013-01-11"
"176","9","30","High","10","0.51","High","9","-0.83","High",0,0,NA,NA,"228_2013-10-14"
"177","2","17","Low","9","0.56","High","8","-1.03","High",1,0,1,0,"229_2013-04-16"
"178","2","16","Low","1","-1.86","Low","1","-3.99","Low",0,0,0,0,"230_2014-11-03"
"179","1","11","Low","6","-0.48","Medium","8","-1.25","High",0,0,0,0,"231_2013-12-07"
"180","5","22","Medium","6","-0.57","Medium","3","-2.46","Low",0,0,0,0,"232_2014-01-27"
"181","3","19","Low","10","0.67","High","10","-0.31","High",0,0,0,0,"233_2014-08-13"
"182","1","15","Low","1","-1.68","Low","1","-3.76","Low",1,1,1,0,"234_2013-04-27"
"183","9","31","High","7","-0.06","Medium","6","-1.73","Medium",1,1,1,0,"235_2013-05-15"
"184","1","13","Low","4","-0.53","Low","4","-1.99","Low",0,0,0,0,"239_2013-09-06"
"185","2","16","Low","4","-0.98","Low","4","-2.17","Low",1,0,1,0,"241_2013-03-10"
"186","4","21","Low","7","-0.29","Medium","4","-2.06","Low",1,0,1,0,"244_2013-05-02"
"187","4","21","Low","7","0.06","Medium","8","-1.19","High",0,0,0,0,"245_2013-03-02"
"188","2","16","Low","2","-1.3","Low","1","-3.29","Low",0,0,0,0,"246_2013-09-26"
"189","1","13","Low","1","-1.79","Low","1","-3.23","Low",0,0,0,0,"247_2014-12-30"
"190","1","12","Low","2","-1.1","Low","4","-2.07","Low",0,0,0,0,"248_2013-05-16"
"191","1","13","Low","1","-1.56","Low","1","-3.08","Low",1,0,1,0,"249_2013-02-11"
"192","10","41","High","10","0.62","High","4","-1.98","Low",0,0,0,0,"250_2014-08-17"
"193","3","18","Low","5","-0.45","Medium","4","-2.07","Low",0,0,0,0,"252_2013-04-20"
"194","1","11","Low","1","-1.46","Low","2","-2.89","Low",0,0,0,0,"253_2014-05-31"
"195","1","11","Low","2","-1.07","Low","3","-2.28","Low",1,0,1,0,"254_2013-09-17"
"196","1","14","Low","3","-0.9","Low","2","-2.61","Low",0,0,0,0,"255_2014-06-10"
"197","4","20","Low","6","-0.48","Medium","6","-1.55","Medium",0,0,0,0,"256_2014-04-04"
"198","1","12","Low","3","-0.85","Low","5","-1.74","Medium",0,0,0,0,"257_2013-09-09"
"199","6","23","Medium","7","-0.19","Medium","3","-2.5","Low",0,0,0,0,"258_2013-02-18"
"200","1","13","Low","1","-2.06","Low","1","-3.98","Low",0,0,0,0,"259_2013-03-05"
"201","6","24","Medium","4","-0.64","Low","1","-3.07","Low",0,0,0,0,"260_2013-02-05"
"202","3","19","Low","6","-0.24","Medium","4","-1.99","Low",0,0,0,0,"261_2014-04-09"
"203","1","15","Low","6","-0.3","Medium","6","-1.53","Medium",1,1,1,1,"265_2013-03-18"
"204","2","17","Low","1","-1.8","Low","1","-3.6","Low",0,0,0,0,"266_2013-08-29"
"205","9","31","High","2","-1.3","Low","1","-3.28","Low",1,0,0,0,"267_2013-03-14"
"206","1","13","Low","1","-2.63","Low","1","-4.32","Low",1,0,1,0,"268_2014-09-20"
"207","3","19","Low","1","-1.7","Low","1","-3.69","Low",0,0,0,0,"269_2014-03-03"
"208","1","11","Low","2","-1.11","Low","4","-2.21","Low",0,0,0,0,"271_2014-01-14"
"209","1","12","Low","1","-1.46","Low","1","-3.15","Low",0,0,0,0,"274_2014-04-29"
"210","1","13","Low","5","-0.44","Medium","5","-1.75","Medium",1,0,1,0,"275_2014-04-24"
"211","3","19","Low","8","0.13","High","1","-3.2","Low",1,1,1,0,"277_2013-02-03"
"212","3","19","Low","7","0.02","Medium","1","-3.23","Low",0,0,NA,NA,"277_2014-01-04"
"213","3","18","Low","2","-1.14","Low","4","-2.16","Low",1,0,1,0,"278_2014-01-06"
"214","3","20","Low","1","-1.73","Low","1","-3.93","Low",0,0,0,0,"279_2013-10-25"
"215","1","15","Low","1","-1.48","Low","1","-2.98","Low",0,0,1,1,"281_2013-06-11"
"216","5","23","Medium","4","-0.73","Low","3","-2.31","Low",1,1,1,0,"282_2014-02-17"
"217","2","16","Low","5","-0.6","Medium","2","-2.6","Low",0,0,0,0,"283_2014-08-18"
"218","3","20","Low","10","0.65","High","7","-1.48","Medium",1,0,1,0,"286_2013-08-28"
"219","8","30","High","9","0.46","High","8","-1.09","High",1,1,1,1,"287_2013-12-24"
"220","8","30","High","9","0.34","High","8","-1.13","High",1,1,NA,NA,"287_2014-10-09"
"221","5","22","Medium","4","-0.67","Low","4","-1.98","Low",1,0,1,0,"288_2014-03-02"
"222","3","19","Low","9","0.5","High","8","-1.25","High",1,1,1,0,"289_2014-11-14"
"223","6","25","Medium","3","-1","Low","4","-2.13","Low",0,0,0,0,"291_2013-02-01"
"224","9","30","High","9","0.42","High","1","-3.06","Low",0,0,0,0,"292_2014-05-31"
"225","3","18","Low","3","-0.83","Low","4","-2.08","Low",1,1,1,1,"293_2014-04-26"
"226","1","13","Low","2","-1.15","Low","1","-2.98","Low",1,0,1,0,"294_2014-01-31"
"227","10","34","High","10","1","High","8","-1.19","High",0,0,0,0,"295_2014-01-12"
"228","2","16","Low","4","-1","Low","4","-2.04","Low",0,0,0,0,"297_2013-08-21"
"229","1","13","Low","3","-0.94","Low","1","-3","Low",1,0,1,0,"298_2014-01-28"
"230","3","19","Low","1","-2.39","Low","1","-3.93","Low",0,0,0,0,"299_2013-09-16"
"231","6","24","Medium","3","-1.12","Low","1","-3.39","Low",0,0,0,0,"300_2013-11-08"
"232","3","20","Low","4","-0.58","Low","4","-2.2","Low",0,0,0,0,"301_2013-01-06"
"233","9","31","High","9","0.4","High","9","-0.67","High",1,1,1,0,"302_2014-07-13"
"234","3","19","Low","5","-0.35","Medium","4","-2.09","Low",1,1,1,0,"304_2014-10-08"
"235","1","15","Low","10","0.87","High","8","-1.14","High",1,0,1,0,"306_2013-04-18"
"236","7","27","Medium","6","-0.28","Medium","2","-2.77","Low",0,0,0,0,"307_2014-11-02"
"237","3","20","Low","2","-1.17","Low","3","-2.48","Low",0,0,0,0,"308_2013-03-26"
"238","1","14","Low","3","-1.15","Low","2","-2.83","Low",0,0,0,0,"309_2014-08-17"
"239","7","26","Medium","8","-0.09","High","6","-1.53","Medium",0,0,0,0,"310_2013-10-29"
"240","2","17","Low","9","0.14","High","6","-1.73","Medium",1,1,1,0,"313_2013-10-10"
"241","1","13","Low","1","-1.66","Low","1","-3.17","Low",0,0,0,0,"314_2014-05-21"
"242","1","13","Low","1","-1.84","Low","1","-3.26","Low",0,0,0,0,"315_2013-03-20"
"243","2","17","Low","9","0.14","High","7","-1.38","Medium",0,0,0,0,"317_2013-01-02"
"244","4","21","Low","7","0.06","Medium","8","-1.2","High",0,0,0,0,"318_2013-01-18"
"245","1","15","Low","1","-2.73","Low","1","-4.11","Low",1,0,1,0,"319_2013-03-20"
"246","7","26","Medium","9","0.34","High","3","-2.41","Low",0,0,0,0,"320_2013-02-19"
"247","3","19","Low","2","-1.14","Low","3","-2.52","Low",0,0,0,0,"323_2013-01-04"
"248","1","11","Low","1","-2.51","Low","1","-4.05","Low",1,1,1,1,"326_2014-01-13"
"249","2","17","Low","2","-1.05","Low","2","-2.9","Low",0,0,0,0,"327_2013-10-31"
"250","1","11","Low","4","-0.68","Low","7","-1.41","Medium",0,0,0,0,"328_2014-05-13"
"251","1","14","Low","1","-1.48","Low","1","-3.33","Low",1,0,1,0,"329_2013-01-07"
"252","1","13","Low","1","-2.3","Low","1","-3.83","Low",0,0,0,0,"330_2013-01-13"
"253","2","17","Low","7","-0.3","Medium","4","-2.06","Low",0,0,0,0,"332_2013-05-13"
"254","4","21","Low","6","-0.37","Medium","3","-2.25","Low",0,0,0,0,"333_2013-11-05"
"255","3","20","Low","10","0.69","High","9","-0.65","High",1,1,1,0,"334_2013-04-24"
"256","1","12","Low","1","-1.72","Low","1","-3.29","Low",0,0,1,1,"335_2013-02-17"
"257","3","20","Low","4","-0.59","Low","2","-2.68","Low",1,0,1,0,"336_2014-04-30"
"258","8","30","High","9","0.54","High","9","-0.83","High",0,0,0,0,"337_2013-05-07"
"259","4","21","Low","9","0.46","High","5","-1.8","Medium",0,0,0,0,"338_2013-05-09"
"260","1","13","Low","6","-0.23","Medium","5","-1.88","Medium",0,0,0,0,"339_2014-12-25"
"261","1","15","Low","6","-0.39","Medium","6","-1.53","Medium",0,0,0,0,"342_2014-05-26"
"262","1","11","Low","1","-1.81","Low","1","-3.35","Low",0,0,0,0,"344_2014-01-25"
"263","1","13","Low","1","-1.77","Low","1","-3.57","Low",0,0,0,0,"345_2013-05-16"
"264","5","22","Medium","4","-0.53","Low","1","-2.95","Low",1,1,1,0,"347_2013-02-20"
"265","6","25","Medium","4","-0.67","Low","3","-2.3","Low",0,0,0,0,"348_2014-02-04"
"266","5","22","Medium","9","0.55","High","4","-2.04","Low",1,1,1,1,"350_2014-08-06"
"267","3","18","Low","5","-0.44","Medium","3","-2.28","Low",0,0,0,0,"351_2013-09-27"
"268","1","11","Low","2","-1.58","Low","1","-3.04","Low",0,0,0,0,"353_2014-09-28"
"269","2","16","Low","4","-0.74","Low","6","-1.7","Medium",0,0,0,0,"354_2013-02-22"
"270","1","14","Low","2","-1.04","Low","2","-2.77","Low",0,0,0,0,"355_2013-03-05"
"271","1","12","Low","4","-0.61","Low","4","-2.2","Low",1,0,0,0,"356_2013-11-03"
"272","6","24","Medium","8","0.25","High","5","-1.96","Medium",1,1,1,0,"357_2014-12-31"
"273","2","16","Low","2","-1.07","Low","1","-3.02","Low",1,1,1,0,"358_2014-04-19"
"274","9","33","High","9","0.57","High","8","-1.06","High",0,0,0,0,"359_2013-12-17"
"275","3","18","Low","1","-2.45","Low","1","-3.92","Low",0,0,0,0,"361_2013-01-16"
"276","6","24","Medium","5","-0.34","Medium","3","-2.33","Low",1,0,1,0,"363_2013-04-11"
"277","3","19","Low","3","-0.88","Low","4","-2.12","Low",0,0,0,0,"364_2013-09-06"
"278","1","12","Low","1","-1.7","Low","1","-3.06","Low",0,0,0,0,"365_2014-10-02"
"279","3","19","Low","8","0.21","High","7","-1.45","Medium",1,1,1,0,"366_2013-01-31"
