"","Risk of Failure to Appear_decile_score","Risk of Failure to Appear_raw_score","Risk of Failure to Appear_score_text","Risk of Recidivism_decile_score","Risk of Recidivism_raw_score","Risk of Recidivism_score_text","Risk of Violence_decile_score","Risk of Violence_raw_score","Risk of Violence_score_text","recid","recid_violent","recid_proPub","recid_violent_proPub","uid"
"59","2","16","Low","6","-0.24","Medium","3","-2.36","Low",1,1,1,0,"107_2013-01-07"
"60","1","11","Low","3","-0.91","Low","3","-2.38","Low",1,0,1,0,"113_2013-08-25"
"61","3","18","Low","8","0.09","High","6","-1.56","Medium",0,0,0,0,"114_2013-02-19"
"62","2","16","Low","4","-0.98","Low","3","-2.32","Low",1,1,1,1,"115_2013-11-08"
"63","4","21","Low","2","-1.36","Low","1","-3.05","Low",0,0,0,0,"119_2013-03-04"
"64","7","26","Medium","10","0.78","High","9","-0.74","High",1,0,1,1,"122_2013-02-21"
"65","1","11","Low","5","-0.33","Medium","8","-1.21","High",1,1,1,1,"130_2013-10-03"
"66","2","16","Low","9","0.39","High","10","-0.57","High",1,1,1,0,"131_2014-01-16"
"67","3","19","Low","8","0.15","High","4","-2.15","Low",1,0,1,0,"138_2013-01-12"
"68","1","15","Low","6","-0.21","Medium","6","-1.5","Medium",1,0,1,0,"139_2013-04-20"
"69","2","16","Low","7","-0.23","Medium","8","-1.22","High",0,0,0,0,"145_2013-11-14"
"70","1","14","Low","1","-1.53","Low","1","-3.23","Low",1,1,1,0,"146_2013-02-13"
"71","1","12","Low","1","-2.36","Low","1","-4.03","Low",0,0,0,0,"148_2013-04-15"
"72","1","12","Low","1","-2.2","Low","1","-3.71","Low",0,0,0,0,"150_2013-08-20"
"73","6","24","Medium","2","-1.09","Low","2","-2.64","Low",0,0,0,0,"153_2013-09-09"
"74","2","16","Low","1","-1.94","Low","1","-3.41","Low",1,1,1,1,"154_2013-09-05"
"75","5","23","Medium","6","-0.15","Medium","6","-1.52","Medium",1,1,1,0,"156_2013-04-11"
"76","1","14","Low","4","-0.66","Low","2","-2.58","Low",0,0,0,0,"157_2013-08-29"
"77","5","23","Medium","5","-0.51","Medium","2","-2.68","Low",0,0,0,0,"158_2014-02-21"
"78","4","21","Low","4","-0.96","Low","3","-2.28","Low",0,0,0,0,"159_2013-02-26"
"79","5","23","Medium","1","-1.47","Low","1","-3.34","Low",0,0,0,0,"163_2013-08-15"
"80","1","15","Low","9","0.43","High","6","-1.56","Medium",1,1,1,0,"166_2013-03-02"
"81","2","16","Low","4","-0.55","Low","3","-2.4","Low",1,0,1,0,"169_2013-01-16"
"82","3","19","Low","9","0.52","High","4","-2.06","Low",0,0,0,0,"170_2013-02-25"
"83","2","16","Low","5","-0.34","Medium","5","-1.9","Medium",0,0,0,0,"171_2013-02-15"
"84","1","14","Low","5","-0.37","Medium","2","-2.63","Low",1,0,1,0,"173_2013-11-17"
"85","1","14","Low","2","-1.31","Low","1","-3.3","Low",0,0,0,0,"174_2013-11-18"
"86","1","13","Low","2","-1.04","Low","2","-2.85","Low",1,1,1,0,"175_2013-03-16"
"87","6","24","Medium","9","0.53","High","7","-1.36","Medium",1,0,1,0,"176_2013-09-06"
"88","1","13","Low","4","-0.58","Low","7","-1.49","Medium",1,1,1,0,"177_2013-11-13"
"89","7","27","Medium","8","0.28","High","5","-1.88","Medium",1,0,1,0,"178_2014-01-11"
"90","6","25","Medium","7","-0.03","Medium","8","-1.2","High",0,0,0,0,"180_2013-10-14"
"91","2","16","Low","8","0.25","High","7","-1.32","Medium",0,0,0,0,"181_2014-02-20"
"92","1","14","Low","2","-1.52","Low","2","-2.85","Low",0,0,0,0,"182_2013-10-29"
"93","4","21","Low","10","0.71","High","7","-1.45","Medium",1,1,1,1,"183_2013-02-26"
"94","7","26","Medium","9","0.39","High","6","-1.73","Medium",0,0,0,0,"189_2013-07-29"
"95","5","23","Medium","10","1.08","High","7","-1.44","Medium",1,1,1,0,"190_2013-12-29"
"96","4","21","Low","3","-0.86","Low","1","-3.39","Low",0,0,0,0,"194_2013-09-17"
"97","2","17","Low","2","-1.26","Low","2","-2.7","Low",0,0,0,0,"197_2013-11-19"
"98","1","11","Low","2","-1.45","Low","3","-2.49","Low",0,0,0,0,"203_2014-02-07"
"99","1","15","Low","9","0.57","High","8","-1","High",0,0,0,0,"205_2013-10-22"
"100","2","17","Low","2","-1.14","Low","1","-2.95","Low",1,1,1,0,"208_2014-01-27"
"101","6","25","Medium","7","-0.06","Medium","3","-2.51","Low",1,0,1,0,"210_2013-01-02"
"102","1","12","Low","3","-1","Low","3","-2.54","Low",1,1,1,0,"213_2013-09-05"
"103","1","14","Low","2","-1.28","Low","3","-2.29","Low",0,0,1,0,"215_2013-01-17"
"104","1","13","Low","2","-1.12","Low","1","-3.38","Low",1,0,1,0,"216_2013-04-02"
"105","4","21","Low","10","1.08","High","8","-1.04","High",0,0,0,0,"217_2014-02-28"
"106","2","16","Low","1","-2.13","Low","1","-3.71","Low",0,0,0,0,"222_2013-05-14"
"107","5","23","Medium","5","-0.48","Medium","2","-2.65","Low",1,1,1,1,"225_2013-12-26"
"108","9","29","High","9","0.21","High","9","-0.83","High",1,0,1,0,"228_2013-01-11"
"109","2","17","Low","9","0.56","High","8","-1.03","High",1,0,1,0,"229_2013-04-16"
"110","1","11","Low","6","-0.48","Medium","8","-1.25","High",0,0,0,0,"231_2013-12-07"
"111","5","22","Medium","6","-0.57","Medium","3","-2.46","Low",0,0,0,0,"232_2014-01-27"
"112","1","15","Low","1","-1.68","Low","1","-3.76","Low",1,1,1,0,"234_2013-04-27"
"113","9","31","High","7","-0.06","Medium","6","-1.73","Medium",1,1,1,0,"235_2013-05-15"
"114","1","13","Low","4","-0.53","Low","4","-1.99","Low",0,0,0,0,"239_2013-09-06"
"115","2","16","Low","4","-0.98","Low","4","-2.17","Low",1,0,1,0,"241_2013-03-10"
"116","4","21","Low","7","-0.29","Medium","4","-2.06","Low",1,0,1,0,"244_2013-05-02"
"117","4","21","Low","7","0.06","Medium","8","-1.19","High",0,0,0,0,"245_2013-03-02"
"118","2","16","Low","2","-1.3","Low","1","-3.29","Low",0,0,0,0,"246_2013-09-26"
"119","1","12","Low","2","-1.1","Low","4","-2.07","Low",0,0,0,0,"248_2013-05-16"
"120","1","13","Low","1","-1.56","Low","1","-3.08","Low",1,0,1,0,"249_2013-02-11"
"121","3","18","Low","5","-0.45","Medium","4","-2.07","Low",0,0,0,0,"252_2013-04-20"
"122","1","11","Low","2","-1.07","Low","3","-2.28","Low",1,0,1,0,"254_2013-09-17"
"123","1","12","Low","3","-0.85","Low","5","-1.74","Medium",0,0,0,0,"257_2013-09-09"
"124","6","23","Medium","7","-0.19","Medium","3","-2.5","Low",0,0,0,0,"258_2013-02-18"
"125","1","13","Low","1","-2.06","Low","1","-3.98","Low",0,0,0,0,"259_2013-03-05"
"126","6","24","Medium","4","-0.64","Low","1","-3.07","Low",0,0,0,0,"260_2013-02-05"
"127","1","15","Low","6","-0.3","Medium","6","-1.53","Medium",1,1,1,1,"265_2013-03-18"
"128","2","17","Low","1","-1.8","Low","1","-3.6","Low",0,0,0,0,"266_2013-08-29"
"129","9","31","High","2","-1.3","Low","1","-3.28","Low",1,0,0,0,"267_2013-03-14"
"130","3","19","Low","1","-1.7","Low","1","-3.69","Low",0,0,0,0,"269_2014-03-03"
"131","1","11","Low","2","-1.11","Low","4","-2.21","Low",0,0,0,0,"271_2014-01-14"
"132","3","19","Low","8","0.13","High","1","-3.2","Low",1,1,1,0,"277_2013-02-03"
"133","3","18","Low","2","-1.14","Low","4","-2.16","Low",1,0,1,0,"278_2014-01-06"
"134","3","20","Low","1","-1.73","Low","1","-3.93","Low",0,0,0,0,"279_2013-10-25"
"135","1","15","Low","1","-1.48","Low","1","-2.98","Low",0,0,1,1,"281_2013-06-11"
"136","5","23","Medium","4","-0.73","Low","3","-2.31","Low",1,1,1,0,"282_2014-02-17"
"137","3","20","Low","10","0.65","High","7","-1.48","Medium",1,0,1,0,"286_2013-08-28"
"138","8","30","High","9","0.46","High","8","-1.09","High",1,1,1,1,"287_2013-12-24"
"139","5","22","Medium","4","-0.67","Low","4","-1.98","Low",1,0,1,0,"288_2014-03-02"
"140","6","25","Medium","3","-1","Low","4","-2.13","Low",0,0,0,0,"291_2013-02-01"
"141","1","13","Low","2","-1.15","Low","1","-2.98","Low",1,0,1,0,"294_2014-01-31"
"142","10","34","High","10","1","High","8","-1.19","High",0,0,0,0,"295_2014-01-12"
"143","2","16","Low","4","-1","Low","4","-2.04","Low",0,0,0,0,"297_2013-08-21"
"144","1","13","Low","3","-0.94","Low","1","-3","Low",1,0,1,0,"298_2014-01-28"
"145","3","19","Low","1","-2.39","Low","1","-3.93","Low",0,0,0,0,"299_2013-09-16"
"146","6","24","Medium","3","-1.12","Low","1","-3.39","Low",0,0,0,0,"300_2013-11-08"
"147","3","20","Low","4","-0.58","Low","4","-2.2","Low",0,0,0,0,"301_2013-01-06"
"148","1","15","Low","10","0.87","High","8","-1.14","High",1,0,1,0,"306_2013-04-18"
"149","3","20","Low","2","-1.17","Low","3","-2.48","Low",0,0,0,0,"308_2013-03-26"
"150","7","26","Medium","8","-0.09","High","6","-1.53","Medium",0,0,0,0,"310_2013-10-29"
"151","2","17","Low","9","0.14","High","6","-1.73","Medium",1,1,1,0,"313_2013-10-10"
"152","1","13","Low","1","-1.84","Low","1","-3.26","Low",0,0,0,0,"315_2013-03-20"
"153","2","17","Low","9","0.14","High","7","-1.38","Medium",0,0,0,0,"317_2013-01-02"
"154","4","21","Low","7","0.06","Medium","8","-1.2","High",0,0,0,0,"318_2013-01-18"
"155","1","15","Low","1","-2.73","Low","1","-4.11","Low",1,0,1,0,"319_2013-03-20"
"156","7","26","Medium","9","0.34","High","3","-2.41","Low",0,0,0,0,"320_2013-02-19"
"157","3","19","Low","2","-1.14","Low","3","-2.52","Low",0,0,0,0,"323_2013-01-04"
"158","1","11","Low","1","-2.51","Low","1","-4.05","Low",1,1,1,1,"326_2014-01-13"
"159","2","17","Low","2","-1.05","Low","2","-2.9","Low",0,0,0,0,"327_2013-10-31"
"160","1","14","Low","1","-1.48","Low","1","-3.33","Low",1,0,1,0,"329_2013-01-07"
"161","1","13","Low","1","-2.3","Low","1","-3.83","Low",0,0,0,0,"330_2013-01-13"
"162","2","17","Low","7","-0.3","Medium","4","-2.06","Low",0,0,0,0,"332_2013-05-13"
"163","4","21","Low","6","-0.37","Medium","3","-2.25","Low",0,0,0,0,"333_2013-11-05"
"164","3","20","Low","10","0.69","High","9","-0.65","High",1,1,1,0,"334_2013-04-24"
"165","1","12","Low","1","-1.72","Low","1","-3.29","Low",0,0,1,1,"335_2013-02-17"
"166","8","30","High","9","0.54","High","9","-0.83","High",0,0,0,0,"337_2013-05-07"
"167","4","21","Low","9","0.46","High","5","-1.8","Medium",0,0,0,0,"338_2013-05-09"
"168","1","11","Low","1","-1.81","Low","1","-3.35","Low",0,0,0,0,"344_2014-01-25"
"169","1","13","Low","1","-1.77","Low","1","-3.57","Low",0,0,0,0,"345_2013-05-16"
"170","5","22","Medium","4","-0.53","Low","1","-2.95","Low",1,1,1,0,"347_2013-02-20"
"171","6","25","Medium","4","-0.67","Low","3","-2.3","Low",0,0,0,0,"348_2014-02-04"
"172","3","18","Low","5","-0.44","Medium","3","-2.28","Low",0,0,0,0,"351_2013-09-27"
"173","2","16","Low","4","-0.74","Low","6","-1.7","Medium",0,0,0,0,"354_2013-02-22"
"174","1","14","Low","2","-1.04","Low","2","-2.77","Low",0,0,0,0,"355_2013-03-05"
"175","1","12","Low","4","-0.61","Low","4","-2.2","Low",1,0,0,0,"356_2013-11-03"
"176","9","33","High","9","0.57","High","8","-1.06","High",0,0,0,0,"359_2013-12-17"
"177","3","18","Low","1","-2.45","Low","1","-3.92","Low",0,0,0,0,"361_2013-01-16"
"178","6","24","Medium","5","-0.34","Medium","3","-2.33","Low",1,0,1,0,"363_2013-04-11"
"179","3","19","Low","3","-0.88","Low","4","-2.12","Low",0,0,0,0,"364_2013-09-06"
"180","3","19","Low","8","0.21","High","7","-1.45","Medium",1,1,1,0,"366_2013-01-31"
"181","2","16","Low","1","-1.96","Low","1","-3.44","Low",0,0,0,0,"369_2013-12-09"
"182","2","16","Low","2","-1.41","Low","1","-3.07","Low",0,0,0,0,"372_2013-10-23"
"183","6","24","Medium","7","-0.01","Medium","9","-0.78","High",1,1,1,1,"374_2014-03-11"
"184","1","13","Low","2","-1.55","Low","2","-2.88","Low",0,0,0,0,"379_2013-03-09"
"185","1","13","Low","6","-0.23","Medium","4","-2","Low",1,1,1,0,"381_2013-01-31"
"186","1","14","Low","5","-0.65","Medium","7","-1.37","Medium",1,0,1,0,"382_2014-03-12"
"187","1","14","Low","8","0.14","High","7","-1.45","Medium",0,0,0,0,"383_2013-02-04"
"188","1","12","Low","8","0.16","High","7","-1.41","Medium",1,1,1,1,"385_2013-11-18"
"189","1","15","Low","6","-0.21","Medium","5","-1.84","Medium",1,1,1,0,"386_2013-02-14"
"190","1","13","Low","1","-1.94","Low","1","-3.41","Low",0,0,0,0,"389_2013-03-12"
"191","2","16","Low","8","0.18","High","6","-1.5","Medium",0,0,0,0,"396_2014-02-19"
"192","2","16","Low","7","-0.02","Medium","6","-1.56","Medium",0,0,0,0,"398_2013-04-20"
"193","1","13","Low","1","-1.92","Low","1","-3.59","Low",0,0,0,0,"399_2013-08-02"
"194","1","14","Low","2","-1.47","Low","3","-2.49","Low",0,0,0,0,"402_2013-11-13"
"195","2","16","Low","5","-0.41","Medium","4","-2.14","Low",0,0,0,0,"404_2013-04-20"
"196","9","31","High","6","-0.19","Medium","7","-1.48","Medium",1,1,1,1,"405_2013-04-08"
"197","3","18","Low","10","0.66","High","7","-1.27","Medium",1,0,1,0,"407_2013-01-11"
"198","1","11","Low","3","-1.07","Low","4","-2.22","Low",0,0,0,0,"408_2013-12-31"
"199","1","15","Low","3","-1.29","Low","1","-3.12","Low",0,0,0,0,"411_2013-08-05"
"200","2","16","Low","2","-1.37","Low","3","-2.49","Low",0,0,0,0,"414_2014-01-29"
"201","8","28","High","7","0.01","Medium","3","-2.44","Low",0,0,0,0,"415_2013-04-11"
"202","7","27","Medium","6","-0.28","Medium","2","-2.68","Low",1,1,1,0,"416_2013-12-10"
"203","1","13","Low","1","-2","Low","1","-3.54","Low",0,0,0,0,"417_2013-04-05"
"204","8","28","High","1","-1.85","Low","1","-3.35","Low",0,0,0,0,"425_2013-04-18"
"205","1","15","Low","9","0.43","High","7","-1.34","Medium",1,1,1,0,"429_2013-03-04"
"206","2","16","Low","4","-0.73","Low","4","-2.11","Low",0,0,0,0,"432_2014-01-20"
"207","2","16","Low","4","-0.58","Low","4","-2.09","Low",0,0,0,0,"435_2013-12-04"
"208","2","17","Low","5","-0.49","Medium","5","-1.94","Medium",1,0,1,0,"437_2014-02-27"
"209","2","16","Low","4","-0.66","Low","2","-2.59","Low",1,0,1,0,"438_2013-01-31"
"210","2","17","Low","3","-0.89","Low","1","-3.17","Low",1,0,1,0,"440_2013-11-05"
"211","5","22","Medium","3","-0.76","Low","5","-1.96","Medium",0,0,0,0,"441_2013-04-09"
"212","3","18","Low","3","-0.89","Low","1","-3.84","Low",0,0,0,0,"445_2013-02-23"
"213","1","11","Low","6","-0.53","Medium","7","-1.29","Medium",0,0,0,0,"446_2013-01-01"
"214","9","33","High","8","0.29","High","3","-2.32","Low",0,0,0,0,"448_2013-04-28"
"215","1","13","Low","8","0.1","High","5","-1.8","Medium",1,0,1,0,"451_2013-12-06"
"216","1","15","Low","1","-2.77","Low","1","-4.35","Low",0,0,0,0,"452_2013-01-05"
"217","5","23","Medium","3","-0.97","Low","1","-3.15","Low",0,0,0,0,"456_2013-12-02"
"218","1","14","Low","2","-1.34","Low","1","-3.41","Low",1,1,1,0,"457_2013-08-16"
"219","1","12","Low","1","-1.89","Low","1","-3.27","Low",0,0,0,0,"459_2013-12-01"
"220","2","17","Low","3","-0.9","Low","5","-1.96","Medium",0,0,0,0,"461_2013-12-31"
"221","5","22","Medium","1","-1.43","Low","2","-2.69","Low",0,0,0,0,"462_2013-04-08"
"222","1","15","Low","1","-1.65","Low","1","-3.2","Low",1,1,1,0,"463_2014-01-02"
"223","3","18","Low","3","-0.9","Low","3","-2.52","Low",1,0,1,0,"464_2013-02-18"
"224","1","13","Low","2","-1.59","Low","1","-2.99","Low",0,0,0,0,"465_2013-05-28"
"225","4","21","Low","10","0.79","High","10","-0.43","High",1,1,1,1,"467_2013-03-16"
"226","1","13","Low","2","-1.28","Low","3","-2.44","Low",0,0,0,0,"468_2014-01-14"
"227","2","17","Low","5","-0.34","Medium","7","-1.31","Medium",0,0,0,0,"473_2013-02-21"
"228","1","11","Low","1","-2.18","Low","1","-3.79","Low",0,0,0,0,"474_2014-03-22"
"229","1","14","Low","1","-2.64","Low","1","-4.2","Low",0,0,0,0,"475_2013-12-11"
"230","1","14","Low","9","0.39","High","8","-1.13","High",1,0,1,0,"480_2014-01-11"
"231","4","21","Low","5","-0.48","Medium","3","-2.31","Low",0,0,0,0,"484_2013-02-22"
"232","6","25","Medium","9","0.46","High","9","-0.77","High",1,1,1,1,"485_2013-03-26"
"233","1","15","Low","3","-0.75","Low","4","-2.08","Low",1,1,1,1,"489_2013-10-04"
"234","2","16","Low","1","-2.2","Low","1","-3.71","Low",0,0,0,0,"493_2013-03-13"
"235","5","22","Medium","5","-0.33","Medium","6","-1.64","Medium",0,0,1,0,"494_2013-08-02"
"236","6","24","Medium","7","-0.2","Medium","5","-1.79","Medium",0,0,0,0,"495_2013-05-06"
"237","1","11","Low","4","-0.94","Low","4","-2.2","Low",1,0,1,0,"496_2013-01-11"
"238","3","18","Low","3","-1.03","Low","4","-2.1","Low",0,0,1,0,"497_2013-04-04"
"239","2","17","Low","5","-0.38","Medium","3","-2.44","Low",1,0,0,0,"499_2014-03-03"
"240","2","16","Low","8","0.1","High","7","-1.28","Medium",1,0,1,0,"500_2013-04-25"
"241","3","20","Low","3","-0.8","Low","3","-2.5","Low",0,0,0,0,"501_2013-12-23"
"242","1","13","Low","3","-0.86","Low","4","-2.04","Low",0,0,0,0,"502_2014-03-13"
"243","1","13","Low","1","-1.45","Low","2","-2.82","Low",0,0,0,0,"505_2014-03-02"
"244","4","20","Low","6","-0.38","Medium","2","-2.58","Low",0,0,0,0,"509_2013-03-22"
"245","3","19","Low","1","-1.9","Low","1","-3.73","Low",0,0,0,0,"510_2013-12-27"
"246","1","13","Low","6","-0.15","Medium","5","-1.88","Medium",0,0,0,0,"517_2014-01-31"
"247","4","21","Low","3","-0.84","Low","2","-2.94","Low",1,0,0,0,"518_2013-03-25"
"248","1","13","Low","1","-1.56","Low","1","-2.98","Low",0,0,0,0,"522_2014-02-25"
"249","5","23","Medium","8","0.09","High","6","-1.71","Medium",1,0,0,0,"524_2014-02-01"
"250","1","12","Low","1","-2.08","Low","1","-3.53","Low",0,0,0,0,"525_2013-11-27"
"251","1","13","Low","6","-0.38","Medium","8","-1.25","High",0,0,0,0,"526_2013-02-21"
"252","1","13","Low","1","-2.68","Low","1","-4.3","Low",0,0,0,0,"527_2013-01-31"
"253","3","20","Low","10","0.62","High","10","-0.45","High",1,1,1,0,"531_2013-10-07"
"254","4","21","Low","4","-0.6","Low","5","-1.83","Medium",0,0,0,0,"532_2013-12-09"
"255","3","18","Low","5","-0.8","Medium","5","-1.96","Medium",1,0,1,0,"533_2013-04-24"
"256","5","23","Medium","5","-0.48","Medium","4","-2.12","Low",0,0,0,0,"537_2013-10-15"
"257","1","14","Low","4","-0.53","Low","3","-2.55","Low",0,0,1,0,"538_2013-01-30"
"258","6","23","Medium","1","-2.4","Low","1","-4.08","Low",0,0,0,0,"540_2013-10-14"
"259","2","17","Low","10","1","High","10","-0.39","High",1,0,1,0,"542_2013-05-06"
"260","2","16","Low","3","-0.97","Low","2","-2.91","Low",0,0,0,0,"546_2013-04-22"
"261","6","24","Medium","4","-0.61","Low","3","-2.29","Low",0,0,0,0,"547_2013-05-04"
"262","1","11","Low","3","-0.82","Low","6","-1.53","Medium",0,0,1,0,"548_2013-06-17"
"263","1","12","Low","6","-0.3","Medium","5","-1.83","Medium",1,0,1,0,"552_2013-09-09"
"264","3","18","Low","9","0.55","High","6","-1.62","Medium",1,1,1,0,"557_2013-10-22"
"265","1","13","Low","1","-1.44","Low","1","-3.01","Low",0,0,0,0,"560_2014-01-17"
"266","3","18","Low","1","-1.71","Low","1","-3.21","Low",0,0,0,0,"561_2014-02-04"
"267","10","34","High","7","0.08","Medium","9","-0.69","High",1,0,1,0,"565_2014-03-30"
"268","3","18","Low","8","0.29","High","7","-1.31","Medium",1,0,1,0,"566_2014-02-25"
"269","4","20","Low","1","-1.84","Low","1","-4.11","Low",0,0,0,0,"567_2013-12-22"
"270","1","11","Low","4","-0.97","Low","4","-2.09","Low",0,0,0,0,"569_2013-12-14"
"271","1","15","Low","3","-0.85","Low","3","-2.5","Low",0,0,0,0,"573_2013-04-03"
"272","3","20","Low","8","0.13","High","3","-2.3","Low",1,0,1,0,"576_2013-04-23"
"273","2","17","Low","9","0.6","High","9","-0.94","High",1,1,1,1,"579_2013-02-05"
"274","6","24","Medium","9","0.33","High","4","-2.2","Low",1,1,1,0,"581_2013-03-17"
"275","6","24","Medium","5","-0.46","Medium","5","-1.95","Medium",0,0,0,0,"584_2013-05-16"
"276","1","13","Low","1","-2.09","Low","1","-3.82","Low",0,0,0,0,"586_2013-08-07"
"277","3","19","Low","4","-0.58","Low","3","-2.35","Low",0,0,1,0,"588_2013-08-16"
"278","6","24","Medium","8","0.15","High","5","-1.87","Medium",1,1,1,1,"590_2013-02-09"
"279","1","14","Low","1","-2.34","Low","1","-3.92","Low",0,0,0,0,"594_2013-03-25"
