"","Risk of Failure to Appear_decile_score","Risk of Failure to Appear_raw_score","Risk of Failure to Appear_score_text","Risk of Recidivism_decile_score","Risk of Recidivism_raw_score","Risk of Recidivism_score_text","Risk of Violence_decile_score","Risk of Violence_raw_score","Risk of Violence_score_text","recid","recid_violent","recid_proPub","recid_violent_proPub","uid"
"42","3","20","Low","8","0.25","High","3","-2.3","Low",1,0,1,0,"42_2014-11-15"
"43","1","15","Low","1","-2.74","Low","1","-4.33","Low",0,0,0,0,"43_2014-12-07"
"44","1","12","Low","3","-0.88","Low","3","-2.54","Low",0,0,0,0,"44_2014-11-21"
"45","1","11","Low","1","-2.56","Low","1","-4.21","Low",0,0,0,0,"45_2013-12-30"
"46","2","16","Low","8","0.21","High","6","-1.73","Medium",0,0,-1,0,"46_2013-02-26"
"47","10","40","High","10","0.7","High","8","-1.1","High",0,0,0,0,"47_2013-09-16"
"48","2","17","Low","3","-0.81","Low","4","-2.19","Low",0,0,0,0,"48_2014-01-11"
"49","8","29","High","5","-0.46","Medium","2","-2.59","Low",0,0,0,0,"49_2013-01-20"
"50","3","20","Low","3","-0.82","Low","2","-2.81","Low",1,0,1,0,"50_2013-04-04"
"51","2","16","Low","8","0.1","High","8","-1.18","High",0,0,0,0,"51_2013-04-09"
"52","1","16","Low","8","0.3","High","8","-1.02","High",0,0,NA,NA,"51_2013-08-07"
"53","2","16","Low","8","0.09","High","8","-1.16","High",0,0,NA,NA,"51_2014-10-28"
"54","2","16","Low","5","-0.73","Medium","2","-2.67","Low",1,1,1,0,"52_2013-12-03"
"55","1","15","Low","2","-1.23","Low","3","-2.49","Low",1,1,1,0,"53_2013-09-15"
"56","6","25","Medium","9","0.32","High","6","-1.55","Medium",1,0,1,0,"54_2013-01-11"
"57","1","14","Low","2","-1.08","Low","2","-2.62","Low",0,0,0,0,"55_2013-01-16"
"58","4","20","Low","8","0.03","High","8","-1.16","High",0,0,0,0,"56_2013-08-24"
"59","1","15","Low","1","-1.77","Low","1","-3.6","Low",0,0,0,0,"57_2013-02-28"
"60","1","11","Low","1","-1.97","Low","1","-3.41","Low",0,0,-1,0,"58_2013-04-15"
"61","3","18","Low","2","-1.33","Low","2","-2.78","Low",1,1,1,0,"59_2014-04-06"
"62","1","13","Low","6","-0.25","Medium","7","-1.35","Medium",0,0,0,0,"60_2013-08-23"
"63","2","16","Low","2","-1.32","Low","2","-2.82","Low",0,0,0,0,"61_2013-02-14"
"64","2","17","Low","7","-0.01","Medium","4","-1.98","Low",0,0,0,0,"62_2014-09-14"
"65","10","37","High","9","0.58","High","10","-0.31","High",0,0,0,0,"63_2014-08-13"
"66","3","19","Low","7","-0.06","Medium","2","-2.8","Low",1,1,1,0,"64_2014-03-03"
"67","3","20","Low","7","-0.06","Medium","2","-2.8","Low",1,1,NA,NA,"64_2014-05-04"
"68","1","14","Low","1","-1.55","Low","2","-2.9","Low",0,0,0,0,"65_2014-06-19"
"69","3","18","Low","10","1.07","High","9","-0.77","High",1,1,1,1,"66_2014-03-28"
"70","5","23","Medium","8","0.1","High","3","-2.54","Low",1,0,1,1,"67_2014-05-19"
"71","1","11","Low","1","-2.43","Low","1","-3.94","Low",0,0,0,0,"68_2013-08-02"
"72","2","17","Low","3","-0.94","Low","2","-2.64","Low",1,0,1,0,"69_2014-12-26"
"73","1","13","Low","4","-0.59","Low","3","-2.41","Low",0,0,0,0,"70_2013-04-24"
"74","1","12","Low","2","-1.22","Low","2","-2.86","Low",1,0,1,0,"71_2013-06-03"
"75","1","12","Low","2","-1.45","Low","2","-2.71","Low",0,0,0,0,"72_2013-11-18"
"76","4","21","Low","2","-1.08","Low","1","-3.21","Low",0,0,0,0,"73_2014-10-05"
"77","2","17","Low","3","-0.98","Low","3","-2.35","Low",0,0,0,0,"74_2014-06-03"
"78","4","21","Low","6","-0.27","Medium","4","-2.13","Low",1,1,1,0,"75_2013-05-02"
"79","9","32","High","9","0.42","High","10","-0.45","High",0,0,0,0,"76_2014-10-24"
"80","1","13","Low","1","-2.51","Low","1","-4.23","Low",0,0,0,0,"77_2014-01-22"
"81","3","18","Low","6","-0.28","Medium","4","-2.21","Low",0,0,0,0,"78_2014-11-03"
"82","6","25","Medium","5","-0.43","Medium","7","-1.45","Medium",0,0,1,0,"79_2013-03-18"
"83","1","12","Low","4","-0.6","Low","4","-2.04","Low",1,0,1,0,"80_2013-09-18"
"84","2","16","Low","5","-0.46","Medium","3","-2.51","Low",0,0,0,0,"81_2014-11-08"
"85","1","15","Low","8","0.09","High","2","-2.71","Low",0,0,0,0,"82_2014-07-30"
"86","1","15","Low","7","-0.01","Medium","3","-2.36","Low",0,0,0,0,"83_2013-01-20"
"87","1","13","Low","1","-2.05","Low","1","-3.38","Low",0,0,0,0,"84_2013-08-27"
"88","2","16","Low","5","-0.51","Medium","2","-2.93","Low",0,0,0,0,"85_2013-05-28"
"89","1","11","Low","1","-1.84","Low","1","-3.18","Low",0,0,0,0,"86_2014-12-03"
"90","1","14","Low","3","-0.93","Low","2","-2.94","Low",0,0,0,0,"87_2013-02-11"
"91","8","28","High","7","0.01","Medium","5","-1.91","Medium",1,1,1,0,"88_2013-06-10"
"92","1","13","Low","1","-1.84","Low","1","-3.25","Low",0,0,0,0,"89_2014-04-14"
"93","3","20","Low","10","0.69","High","9","-0.9","High",1,0,1,0,"90_2014-08-30"
"94","2","16","Low","2","-1.11","Low","2","-2.7","Low",1,0,1,0,"91_2013-02-04"
"95","4","21","Low","6","-0.17","Medium","3","-2.41","Low",0,0,0,0,"92_2013-03-21"
"96","1","13","Low","4","-0.62","Low","6","-1.61","Medium",1,0,1,0,"93_2013-11-16"
"97","1","11","Low","1","-1.88","Low","1","-3.31","Low",0,0,0,0,"94_2014-07-30"
"98","3","20","Low","10","0.84","High","9","-0.65","High",0,0,1,0,"95_2013-03-14"
"99","5","23","Medium","9","0.44","High","5","-1.8","Medium",1,1,1,0,"96_2013-01-26"
"100","6","24","Medium","8","0.16","High","6","-1.55","Medium",0,0,NA,NA,"96_2013-08-25"
"101","1","12","Low","1","-1.98","Low","1","-3.88","Low",0,0,0,0,"97_2013-01-08"
"102","3","18","Low","6","-0.25","Medium","3","-2.32","Low",1,0,1,0,"98_2014-04-30"
"103","2","17","Low","5","-0.33","Medium","4","-2.04","Low",0,0,NA,NA,"98_2014-11-10"
"104","1","11","Low","1","-1.88","Low","1","-3.24","Low",0,0,0,0,"99_2014-03-09"
"105","1","13","Low","1","-2.57","Low","1","-4.15","Low",0,0,0,0,"100_2013-09-28"
"106","1","13","Low","1","-2.08","Low","1","-3.55","Low",1,1,1,1,"101_2013-01-13"
"107","3","18","Low","1","-1.97","Low","1","-3.62","Low",0,0,NA,NA,"101_2014-02-02"
"108","1","14","Low","4","-0.52","Low","6","-1.59","Medium",0,0,0,0,"102_2013-05-25"
"109","1","14","Low","3","-1.2","Low","2","-2.62","Low",0,0,0,0,"103_2014-11-08"
"110","5","22","Medium","4","-0.56","Low","4","-2.03","Low",0,0,0,0,"104_2013-01-09"
"111","2","16","Low","4","-0.63","Low","2","-2.87","Low",0,0,0,0,"105_2013-03-07"
"112","1","14","Low","6","-0.22","Medium","4","-2.03","Low",0,0,0,0,"106_2014-09-21"
"113","2","16","Low","6","-0.24","Medium","3","-2.36","Low",1,1,1,0,"107_2013-01-07"
"114","2","17","Low","6","-0.26","Medium","3","-2.48","Low",1,1,NA,NA,"107_2013-09-18"
"115","3","18","Low","6","-0.22","Medium","3","-2.31","Low",1,0,1,0,"108_2014-12-03"
"116","5","23","Medium","2","-1.31","Low","1","-2.98","Low",0,0,-1,0,"109_2014-08-14"
"117","1","12","Low","4","-0.96","Low","2","-2.61","Low",0,0,0,0,"110_2014-10-29"
"118","3","18","Low","2","-1.21","Low","1","-3.27","Low",0,0,0,0,"111_2013-07-17"
"119","6","24","Medium","1","-1.59","Low","1","-3.66","Low",0,0,0,0,"112_2014-03-04"
"120","1","11","Low","3","-0.91","Low","3","-2.38","Low",1,0,1,0,"113_2013-08-25"
"121","3","18","Low","8","0.09","High","6","-1.56","Medium",0,0,0,0,"114_2013-02-19"
"122","2","16","Low","4","-0.98","Low","3","-2.32","Low",1,1,1,1,"115_2013-11-08"
"123","3","19","Low","7","-0.06","Medium","8","-1.2","High",1,1,1,1,"116_2014-07-21"
"124","3","19","Low","7","-0.06","Medium","8","-1.2","High",1,1,NA,NA,"116_2014-08-21"
"125","1","15","Low","1","-2.09","Low","1","-4.2","Low",0,0,0,0,"117_2014-04-08"
"126","2","17","Low","1","-1.64","Low","3","-2.47","Low",0,0,0,0,"118_2014-04-15"
"127","4","21","Low","2","-1.36","Low","1","-3.05","Low",0,0,0,0,"119_2013-03-04"
"128","2","16","Low","2","-1.02","Low","2","-2.81","Low",0,0,0,0,"120_2013-02-28"
"129","1","12","Low","1","-2.53","Low","1","-4.05","Low",0,0,0,0,"121_2014-04-26"
"130","7","26","Medium","10","0.78","High","9","-0.74","High",1,0,1,1,"122_2013-02-21"
"131","8","29","High","10","0.93","High","10","-0.56","High",1,1,NA,NA,"122_2013-04-18"
"132","8","30","High","9","0.67","High","9","-0.8","High",1,1,NA,NA,"122_2014-10-20"
"133","7","26","Medium","9","0.4","High","3","-2.52","Low",0,0,0,0,"123_2014-10-17"
"134","8","29","High","5","-0.46","Medium","1","-3.24","Low",0,0,0,0,"124_2014-07-17"
"135","8","29","High","6","-0.21","Medium","5","-1.79","Medium",0,0,-1,0,"125_2013-08-30"
"136","2","16","Low","6","-0.19","Medium","5","-1.78","Medium",1,0,0,0,"126_2014-06-24"
"137","1","13","Low","1","-1.64","Low","2","-2.84","Low",1,0,1,0,"127_2014-08-07"
"138","6","24","Medium","10","0.73","High","10","-0.25","High",1,0,1,1,"128_2013-04-20"
"139","1","11","Low","1","-2.33","Low","1","-3.83","Low",0,0,-1,0,"129_2014-11-09"
"140","1","11","Low","5","-0.33","Medium","8","-1.21","High",1,1,1,1,"130_2013-10-03"
"141","2","16","Low","9","0.39","High","10","-0.57","High",1,1,1,0,"131_2014-01-16"
"142","3","21","Low","7","0.14","Medium","8","-1.25","High",1,0,1,0,"132_2014-03-17"
"143","9","32","High","6","-0.22","Medium","5","-1.74","Medium",0,0,0,0,"133_2014-08-07"
"144","2","16","Low","5","-0.47","Medium","4","-1.99","Low",0,0,0,0,"134_2014-03-26"
"145","1","15","Low","7","-0.07","Medium","6","-1.54","Medium",0,0,0,0,"135_2014-08-29"
"146","1","14","Low","2","-1.53","Low","1","-2.95","Low",0,0,0,0,"136_2013-03-30"
"147","5","23","Medium","7","0.03","Medium","6","-1.54","Medium",1,0,1,0,"137_2014-04-29"
"148","3","19","Low","8","0.15","High","4","-2.15","Low",1,0,1,0,"138_2013-01-12"
"149","1","15","Low","6","-0.21","Medium","6","-1.5","Medium",1,0,1,0,"139_2013-04-20"
"150","2","17","Low","3","-1.28","Low","3","-2.28","Low",0,0,-1,0,"140_2013-11-02"
"151","2","16","Low","5","-0.32","Medium","4","-1.98","Low",0,0,0,0,"141_2014-12-16"
"152","2","17","Low","8","0.21","High","9","-0.91","High",1,1,1,1,"142_2014-12-13"
"153","8","30","High","7","0.06","Medium","3","-2.51","Low",0,0,0,0,"143_2013-01-04"
"154","7","27","Medium","3","-0.92","Low","2","-2.89","Low",0,0,0,0,"144_2014-12-04"
"155","2","16","Low","7","-0.23","Medium","8","-1.22","High",0,0,0,0,"145_2013-11-14"
"156","1","14","Low","1","-1.53","Low","1","-3.23","Low",1,1,1,0,"146_2013-02-13"
"157","1","14","Low","1","-2.07","Low","1","-3.95","Low",0,0,0,0,"147_2013-11-06"
"158","1","12","Low","1","-2.36","Low","1","-4.03","Low",0,0,0,0,"148_2013-04-15"
"159","2","16","Low","4","-0.54","Low","5","-1.88","Medium",0,0,-1,0,"149_2013-04-12"
"160","1","12","Low","1","-2.2","Low","1","-3.71","Low",0,0,0,0,"150_2013-08-20"
"161","1","13","Low","4","-0.72","Low","7","-1.45","Medium",1,1,1,1,"151_2014-11-14"
"162","1","13","Low","2","-1.16","Low","3","-2.25","Low",1,0,0,0,"152_2014-02-28"
"163","6","24","Medium","2","-1.09","Low","2","-2.64","Low",0,0,0,0,"153_2013-09-09"
"164","2","16","Low","1","-1.94","Low","1","-3.41","Low",1,1,1,1,"154_2013-09-05"
"165","3","18","Low","3","-1.25","Low","1","-3.03","Low",0,0,0,0,"155_2014-11-25"
"166","5","23","Medium","6","-0.15","Medium","6","-1.52","Medium",1,1,1,0,"156_2013-04-11"
"167","1","14","Low","4","-0.66","Low","2","-2.58","Low",0,0,0,0,"157_2013-08-29"
"168","5","23","Medium","5","-0.51","Medium","2","-2.68","Low",0,0,0,0,"158_2014-02-21"
"169","4","21","Low","4","-0.96","Low","3","-2.28","Low",0,0,0,0,"159_2013-02-26"
"170","8","29","High","9","0.54","High","4","-2.18","Low",1,1,1,1,"160_2014-12-04"
"171","5","22","Medium","6","-0.17","Medium","3","-2.4","Low",0,0,0,0,"161_2014-05-08"
"172","3","18","Low","3","-1.11","Low","4","-2.21","Low",0,0,0,0,"162_2014-06-05"
"173","5","23","Medium","1","-1.47","Low","1","-3.34","Low",0,0,0,0,"163_2013-08-15"
"174","3","19","Low","9","0.47","High","6","-1.68","Medium",0,0,0,0,"164_2014-10-16"
"175","1","12","Low","4","-0.82","Low","4","-2.05","Low",0,0,0,0,"165_2014-09-20"
"176","1","15","Low","9","0.43","High","6","-1.56","Medium",1,1,1,0,"166_2013-03-02"
"177","2","16","Low","10","0.64","High","8","-1.03","High",1,1,NA,NA,"166_2013-03-26"
"178","1","15","Low","7","-0.09","Medium","3","-2.46","Low",0,0,0,0,"167_2014-06-06"
"179","3","19","Low","8","0.13","High","6","-1.54","Medium",0,0,0,0,"168_2014-10-08"
"180","2","16","Low","4","-0.55","Low","3","-2.4","Low",1,0,1,0,"169_2013-01-16"
"181","3","19","Low","9","0.52","High","4","-2.06","Low",0,0,0,0,"170_2013-02-25"
"182","2","16","Low","5","-0.34","Medium","5","-1.9","Medium",0,0,0,0,"171_2013-02-15"
"183","1","14","Low","3","-0.89","Low","3","-2.31","Low",0,0,0,0,"172_2014-12-29"
"184","1","14","Low","5","-0.37","Medium","2","-2.63","Low",1,0,1,0,"173_2013-11-17"
"185","1","14","Low","2","-1.31","Low","1","-3.3","Low",0,0,0,0,"174_2013-11-18"
"186","1","13","Low","2","-1.04","Low","2","-2.85","Low",1,1,1,0,"175_2013-03-16"
"187","2","16","Low","3","-0.86","Low","2","-2.7","Low",0,0,NA,NA,"175_2013-03-19"
"188","6","24","Medium","9","0.53","High","7","-1.36","Medium",1,0,1,0,"176_2013-09-06"
"189","1","13","Low","4","-0.58","Low","7","-1.49","Medium",1,1,1,0,"177_2013-11-13"
"190","7","27","Medium","8","0.28","High","5","-1.88","Medium",1,0,1,0,"178_2014-01-11"
"191","2","16","Low","1","-2.04","Low","1","-3.43","Low",0,0,0,0,"179_2014-11-03"
"192","6","25","Medium","7","-0.03","Medium","8","-1.2","High",0,0,0,0,"180_2013-10-14"
"193","2","16","Low","8","0.25","High","7","-1.32","Medium",0,0,0,0,"181_2014-02-20"
"194","1","14","Low","2","-1.52","Low","2","-2.85","Low",0,0,0,0,"182_2013-10-29"
"195","4","21","Low","10","0.71","High","7","-1.45","Medium",1,1,1,1,"183_2013-02-26"
"196","5","22","Medium","9","0.34","High","4","-2.12","Low",1,0,1,0,"184_2014-11-15"
"197","1","13","Low","2","-1.31","Low","2","-2.77","Low",0,0,0,0,"185_2014-09-11"
"198","3","18","Low","1","-1.45","Low","1","-3.38","Low",0,0,0,0,"186_2014-06-06"
"199","9","32","High","9","0.43","High","3","-2.4","Low",0,0,0,0,"187_2013-12-06"
"200","4","21","Low","8","0.3","High","8","-1.21","High",0,0,0,0,"188_2014-09-29"
"201","7","26","Medium","9","0.39","High","6","-1.73","Medium",0,0,0,0,"189_2013-07-29"
"202","5","23","Medium","10","1.08","High","7","-1.44","Medium",1,1,1,0,"190_2013-12-29"
"203","9","31","High","4","-0.53","Low","1","-3.1","Low",0,0,0,0,"191_2014-07-21"
"204","1","12","Low","1","-2.36","Low","1","-4.36","Low",0,0,0,0,"192_2014-03-31"
"205","1","13","Low","6","-0.25","Medium","8","-1.22","High",1,1,1,0,"193_2014-08-12"
"206","4","21","Low","3","-0.86","Low","1","-3.39","Low",0,0,0,0,"194_2013-09-17"
"207","5","22","Medium","4","-0.82","Low","5","-1.83","Medium",0,0,0,0,"195_2013-12-23"
"208","1","13","Low","1","-1.39","Low","2","-2.62","Low",0,0,0,0,"196_2014-05-29"
"209","2","17","Low","2","-1.26","Low","2","-2.7","Low",0,0,0,0,"197_2013-11-19"
"210","1","11","Low","2","-1.1","Low","3","-2.24","Low",0,0,-1,0,"198_2014-02-17"
"211","1","11","Low","1","-1.39","Low","2","-2.7","Low",0,0,0,0,"199_2013-08-29"
"212","1","15","Low","2","-1.32","Low","1","-3.35","Low",0,0,0,0,"200_2013-12-30"
"213","1","11","Low","5","-0.51","Medium","6","-1.67","Medium",0,0,0,0,"201_2014-07-07"
"214","1","11","Low","2","-1.11","Low","3","-2.5","Low",1,1,1,0,"202_2014-12-19"
"215","1","11","Low","2","-1.45","Low","3","-2.49","Low",0,0,0,0,"203_2014-02-07"
"216","5","22","Medium","8","0.13","High","7","-1.49","Medium",0,0,0,0,"204_2014-03-19"
"217","1","15","Low","9","0.57","High","8","-1","High",0,0,0,0,"205_2013-10-22"
"218","1","13","Low","4","-0.86","Low","2","-2.66","Low",1,1,1,0,"206_2014-11-19"
"219","1","13","Low","3","-1.04","Low","3","-2.31","Low",0,0,0,0,"207_2014-04-26"
"220","2","17","Low","2","-1.14","Low","1","-2.95","Low",1,1,1,0,"208_2014-01-27"
"221","1","14","Low","5","-0.77","Medium","5","-1.91","Medium",1,1,1,1,"209_2014-04-04"
"222","6","25","Medium","7","-0.06","Medium","3","-2.51","Low",1,0,1,0,"210_2013-01-02"
"223","1","15","Low","4","-0.73","Low","1","-3.51","Low",0,0,0,0,"211_2014-05-25"
"224","2","17","Low","2","-1.2","Low","1","-3.32","Low",0,0,0,0,"212_2014-11-29"
"225","1","12","Low","3","-1","Low","3","-2.54","Low",1,1,1,0,"213_2013-09-05"
"226","9","31","High","10","1.04","High","10","-0.38","High",0,0,0,0,"214_2013-07-31"
"227","1","14","Low","2","-1.28","Low","3","-2.29","Low",0,0,1,0,"215_2013-01-17"
"228","1","13","Low","2","-1.12","Low","1","-3.38","Low",1,0,1,0,"216_2013-04-02"
"229","1","13","Low","2","-1.13","Low","1","-3.4","Low",0,0,NA,NA,"216_2014-06-24"
"230","4","21","Low","10","1.08","High","8","-1.04","High",0,0,0,0,"217_2014-02-28"
"231","8","27","High","4","-0.88","Low","3","-2.48","Low",0,0,0,0,"218_2013-04-24"
"232","1","13","Low","3","-0.82","Low","3","-2.3","Low",0,0,0,0,"219_2014-11-10"
"233","2","16","Low","10","0.91","High","10","-0.61","High",0,0,0,0,"220_2013-11-20"
"234","2","17","Low","1","-1.41","Low","1","-3.63","Low",0,0,0,0,"221_2014-07-28"
"235","2","16","Low","1","-2.13","Low","1","-3.71","Low",0,0,0,0,"222_2013-05-14"
"236","4","21","Low","8","0.21","High","4","-1.98","Low",1,1,1,0,"223_2014-04-19"
"237","4","21","Low","6","-0.25","Medium","5","-1.86","Medium",1,1,1,1,"224_2014-12-19"
"238","5","23","Medium","5","-0.48","Medium","2","-2.65","Low",1,1,1,1,"225_2013-12-26"
"239","4","21","Low","8","0.18","High","3","-2.34","Low",0,0,0,0,"226_2014-09-28"
"240","1","11","Low","3","-1.29","Low","2","-2.93","Low",1,0,1,0,"227_2014-10-23"
"241","9","29","High","9","0.21","High","9","-0.83","High",1,0,1,0,"228_2013-01-11"
"242","9","30","High","10","0.51","High","9","-0.83","High",0,0,NA,NA,"228_2013-10-14"
"243","2","17","Low","9","0.56","High","8","-1.03","High",1,0,1,0,"229_2013-04-16"
"244","2","16","Low","1","-1.86","Low","1","-3.99","Low",0,0,0,0,"230_2014-11-03"
"245","1","11","Low","6","-0.48","Medium","8","-1.25","High",0,0,0,0,"231_2013-12-07"
"246","5","22","Medium","6","-0.57","Medium","3","-2.46","Low",0,0,0,0,"232_2014-01-27"
"247","3","19","Low","10","0.67","High","10","-0.31","High",0,0,0,0,"233_2014-08-13"
"248","1","15","Low","1","-1.68","Low","1","-3.76","Low",1,1,1,0,"234_2013-04-27"
"249","9","31","High","7","-0.06","Medium","6","-1.73","Medium",1,1,1,0,"235_2013-05-15"
"250","3","18","Low","1","-2.07","Low","1","-3.8","Low",0,0,0,0,"236_2014-02-05"
"251","1","15","Low","2","-1.24","Low","1","-3.24","Low",0,0,-1,0,"237_2013-03-19"
"252","9","31","High","10","0.57","High","9","-0.65","High",1,1,1,1,"238_2014-04-23"
"253","1","13","Low","4","-0.53","Low","4","-1.99","Low",0,0,0,0,"239_2013-09-06"
"254","3","18","Low","2","-1.64","Low","1","-3.46","Low",0,0,0,0,"240_2013-01-10"
"255","2","16","Low","4","-0.98","Low","4","-2.17","Low",1,0,1,0,"241_2013-03-10"
"256","3","18","Low","1","-2.25","Low","1","-3.99","Low",0,0,0,0,"242_2013-06-27"
"257","3","18","Low","4","-0.74","Low","4","-2.11","Low",0,0,0,0,"243_2014-02-11"
"258","4","21","Low","7","-0.29","Medium","4","-2.06","Low",1,0,1,0,"244_2013-05-02"
"259","4","21","Low","7","0.06","Medium","8","-1.19","High",0,0,0,0,"245_2013-03-02"
"260","2","16","Low","2","-1.3","Low","1","-3.29","Low",0,0,0,0,"246_2013-09-26"
"261","1","13","Low","1","-1.79","Low","1","-3.23","Low",0,0,0,0,"247_2014-12-30"
"262","1","12","Low","2","-1.1","Low","4","-2.07","Low",0,0,0,0,"248_2013-05-16"
"263","1","13","Low","1","-1.56","Low","1","-3.08","Low",1,0,1,0,"249_2013-02-11"
"264","10","41","High","10","0.62","High","4","-1.98","Low",0,0,0,0,"250_2014-08-17"
"265","4","20","Low","6","-0.57","Medium","2","-2.89","Low",0,0,0,0,"251_2014-03-19"
"266","3","18","Low","5","-0.45","Medium","4","-2.07","Low",0,0,0,0,"252_2013-04-20"
"267","1","11","Low","1","-1.46","Low","2","-2.89","Low",0,0,0,0,"253_2014-05-31"
"268","1","11","Low","2","-1.07","Low","3","-2.28","Low",1,0,1,0,"254_2013-09-17"
"269","1","14","Low","3","-0.9","Low","2","-2.61","Low",0,0,0,0,"255_2014-06-10"
"270","4","20","Low","6","-0.48","Medium","6","-1.55","Medium",0,0,0,0,"256_2014-04-04"
"271","1","12","Low","3","-0.85","Low","5","-1.74","Medium",0,0,0,0,"257_2013-09-09"
"272","6","23","Medium","7","-0.19","Medium","3","-2.5","Low",0,0,0,0,"258_2013-02-18"
"273","1","13","Low","1","-2.06","Low","1","-3.98","Low",0,0,0,0,"259_2013-03-05"
"274","6","24","Medium","4","-0.64","Low","1","-3.07","Low",0,0,0,0,"260_2013-02-05"
"275","3","19","Low","6","-0.24","Medium","4","-1.99","Low",0,0,0,0,"261_2014-04-09"
"276","9","33","High","10","0.51","High","4","-2.22","Low",0,0,0,0,"262_2013-04-22"
"277","7","26","Medium","1","-2.03","Low","1","-3.37","Low",0,0,0,0,"263_2013-09-10"
"278","4","21","Low","9","0.45","High","7","-1.32","Medium",1,0,1,0,"264_2013-07-25"
"279","1","15","Low","6","-0.3","Medium","6","-1.53","Medium",1,1,1,1,"265_2013-03-18"
