"","Risk of Failure to Appear_decile_score","Risk of Failure to Appear_raw_score","Risk of Failure to Appear_score_text","Risk of Recidivism_decile_score","Risk of Recidivism_raw_score","Risk of Recidivism_score_text","Risk of Violence_decile_score","Risk of Violence_raw_score","Risk of Violence_score_text","recid","recid_violent","recid_proPub","recid_violent_proPub","uid"
"59","1","14","Low","4","-0.52","Low","6","-1.59","Medium",0,0,0,0,"102_2013-05-25"
"60","5","22","Medium","4","-0.56","Low","4","-2.03","Low",0,0,0,0,"104_2013-01-09"
"61","2","16","Low","6","-0.24","Medium","3","-2.36","Low",1,1,1,0,"107_2013-01-07"
"62","2","17","Low","6","-0.26","Medium","3","-2.48","Low",1,1,NA,NA,"107_2013-09-18"
"63","1","11","Low","3","-0.91","Low","3","-2.38","Low",1,0,1,0,"113_2013-08-25"
"64","3","18","Low","8","0.09","High","6","-1.56","Medium",0,0,0,0,"114_2013-02-19"
"65","2","16","Low","4","-0.98","Low","3","-2.32","Low",1,1,1,1,"115_2013-11-08"
"66","4","21","Low","2","-1.36","Low","1","-3.05","Low",0,0,0,0,"119_2013-03-04"
"67","7","26","Medium","10","0.78","High","9","-0.74","High",1,0,1,1,"122_2013-02-21"
"68","8","29","High","10","0.93","High","10","-0.56","High",1,1,NA,NA,"122_2013-04-18"
"69","1","11","Low","5","-0.33","Medium","8","-1.21","High",1,1,1,1,"130_2013-10-03"
"70","2","16","Low","9","0.39","High","10","-0.57","High",1,1,1,0,"131_2014-01-16"
"71","3","19","Low","8","0.15","High","4","-2.15","Low",1,0,1,0,"138_2013-01-12"
"72","1","15","Low","6","-0.21","Medium","6","-1.5","Medium",1,0,1,0,"139_2013-04-20"
"73","2","16","Low","7","-0.23","Medium","8","-1.22","High",0,0,0,0,"145_2013-11-14"
"74","1","14","Low","1","-1.53","Low","1","-3.23","Low",1,1,1,0,"146_2013-02-13"
"75","1","12","Low","1","-2.36","Low","1","-4.03","Low",0,0,0,0,"148_2013-04-15"
"76","1","12","Low","1","-2.2","Low","1","-3.71","Low",0,0,0,0,"150_2013-08-20"
"77","6","24","Medium","2","-1.09","Low","2","-2.64","Low",0,0,0,0,"153_2013-09-09"
"78","2","16","Low","1","-1.94","Low","1","-3.41","Low",1,1,1,1,"154_2013-09-05"
"79","5","23","Medium","6","-0.15","Medium","6","-1.52","Medium",1,1,1,0,"156_2013-04-11"
"80","1","14","Low","4","-0.66","Low","2","-2.58","Low",0,0,0,0,"157_2013-08-29"
"81","5","23","Medium","5","-0.51","Medium","2","-2.68","Low",0,0,0,0,"158_2014-02-21"
"82","4","21","Low","4","-0.96","Low","3","-2.28","Low",0,0,0,0,"159_2013-02-26"
"83","5","23","Medium","1","-1.47","Low","1","-3.34","Low",0,0,0,0,"163_2013-08-15"
"84","1","15","Low","9","0.43","High","6","-1.56","Medium",1,1,1,0,"166_2013-03-02"
"85","2","16","Low","10","0.64","High","8","-1.03","High",1,1,NA,NA,"166_2013-03-26"
"86","2","16","Low","4","-0.55","Low","3","-2.4","Low",1,0,1,0,"169_2013-01-16"
"87","3","19","Low","9","0.52","High","4","-2.06","Low",0,0,0,0,"170_2013-02-25"
"88","2","16","Low","5","-0.34","Medium","5","-1.9","Medium",0,0,0,0,"171_2013-02-15"
"89","1","14","Low","5","-0.37","Medium","2","-2.63","Low",1,0,1,0,"173_2013-11-17"
"90","1","14","Low","2","-1.31","Low","1","-3.3","Low",0,0,0,0,"174_2013-11-18"
"91","1","13","Low","2","-1.04","Low","2","-2.85","Low",1,1,1,0,"175_2013-03-16"
"92","2","16","Low","3","-0.86","Low","2","-2.7","Low",0,0,NA,NA,"175_2013-03-19"
"93","6","24","Medium","9","0.53","High","7","-1.36","Medium",1,0,1,0,"176_2013-09-06"
"94","1","13","Low","4","-0.58","Low","7","-1.49","Medium",1,1,1,0,"177_2013-11-13"
"95","7","27","Medium","8","0.28","High","5","-1.88","Medium",1,0,1,0,"178_2014-01-11"
"96","6","25","Medium","7","-0.03","Medium","8","-1.2","High",0,0,0,0,"180_2013-10-14"
"97","2","16","Low","8","0.25","High","7","-1.32","Medium",0,0,0,0,"181_2014-02-20"
"98","1","14","Low","2","-1.52","Low","2","-2.85","Low",0,0,0,0,"182_2013-10-29"
"99","4","21","Low","10","0.71","High","7","-1.45","Medium",1,1,1,1,"183_2013-02-26"
"100","7","26","Medium","9","0.39","High","6","-1.73","Medium",0,0,0,0,"189_2013-07-29"
"101","5","23","Medium","10","1.08","High","7","-1.44","Medium",1,1,1,0,"190_2013-12-29"
"102","4","21","Low","3","-0.86","Low","1","-3.39","Low",0,0,0,0,"194_2013-09-17"
"103","2","17","Low","2","-1.26","Low","2","-2.7","Low",0,0,0,0,"197_2013-11-19"
"104","1","11","Low","2","-1.45","Low","3","-2.49","Low",0,0,0,0,"203_2014-02-07"
"105","1","15","Low","9","0.57","High","8","-1","High",0,0,0,0,"205_2013-10-22"
"106","2","17","Low","2","-1.14","Low","1","-2.95","Low",1,1,1,0,"208_2014-01-27"
"107","6","25","Medium","7","-0.06","Medium","3","-2.51","Low",1,0,1,0,"210_2013-01-02"
"108","1","12","Low","3","-1","Low","3","-2.54","Low",1,1,1,0,"213_2013-09-05"
"109","1","14","Low","2","-1.28","Low","3","-2.29","Low",0,0,1,0,"215_2013-01-17"
"110","1","13","Low","2","-1.12","Low","1","-3.38","Low",1,0,1,0,"216_2013-04-02"
"111","4","21","Low","10","1.08","High","8","-1.04","High",0,0,0,0,"217_2014-02-28"
"112","2","16","Low","1","-2.13","Low","1","-3.71","Low",0,0,0,0,"222_2013-05-14"
"113","5","23","Medium","5","-0.48","Medium","2","-2.65","Low",1,1,1,1,"225_2013-12-26"
"114","9","29","High","9","0.21","High","9","-0.83","High",1,0,1,0,"228_2013-01-11"
"115","9","30","High","10","0.51","High","9","-0.83","High",0,0,NA,NA,"228_2013-10-14"
"116","2","17","Low","9","0.56","High","8","-1.03","High",1,0,1,0,"229_2013-04-16"
"117","1","11","Low","6","-0.48","Medium","8","-1.25","High",0,0,0,0,"231_2013-12-07"
"118","5","22","Medium","6","-0.57","Medium","3","-2.46","Low",0,0,0,0,"232_2014-01-27"
"119","1","15","Low","1","-1.68","Low","1","-3.76","Low",1,1,1,0,"234_2013-04-27"
"120","9","31","High","7","-0.06","Medium","6","-1.73","Medium",1,1,1,0,"235_2013-05-15"
"121","1","13","Low","4","-0.53","Low","4","-1.99","Low",0,0,0,0,"239_2013-09-06"
"122","2","16","Low","4","-0.98","Low","4","-2.17","Low",1,0,1,0,"241_2013-03-10"
"123","4","21","Low","7","-0.29","Medium","4","-2.06","Low",1,0,1,0,"244_2013-05-02"
"124","4","21","Low","7","0.06","Medium","8","-1.19","High",0,0,0,0,"245_2013-03-02"
"125","2","16","Low","2","-1.3","Low","1","-3.29","Low",0,0,0,0,"246_2013-09-26"
"126","1","12","Low","2","-1.1","Low","4","-2.07","Low",0,0,0,0,"248_2013-05-16"
"127","1","13","Low","1","-1.56","Low","1","-3.08","Low",1,0,1,0,"249_2013-02-11"
"128","3","18","Low","5","-0.45","Medium","4","-2.07","Low",0,0,0,0,"252_2013-04-20"
"129","1","11","Low","2","-1.07","Low","3","-2.28","Low",1,0,1,0,"254_2013-09-17"
"130","1","12","Low","3","-0.85","Low","5","-1.74","Medium",0,0,0,0,"257_2013-09-09"
"131","6","23","Medium","7","-0.19","Medium","3","-2.5","Low",0,0,0,0,"258_2013-02-18"
"132","1","13","Low","1","-2.06","Low","1","-3.98","Low",0,0,0,0,"259_2013-03-05"
"133","6","24","Medium","4","-0.64","Low","1","-3.07","Low",0,0,0,0,"260_2013-02-05"
"134","1","15","Low","6","-0.3","Medium","6","-1.53","Medium",1,1,1,1,"265_2013-03-18"
"135","2","17","Low","1","-1.8","Low","1","-3.6","Low",0,0,0,0,"266_2013-08-29"
"136","9","31","High","2","-1.3","Low","1","-3.28","Low",1,0,0,0,"267_2013-03-14"
"137","3","19","Low","1","-1.7","Low","1","-3.69","Low",0,0,0,0,"269_2014-03-03"
"138","1","11","Low","2","-1.11","Low","4","-2.21","Low",0,0,0,0,"271_2014-01-14"
"139","3","19","Low","8","0.13","High","1","-3.2","Low",1,1,1,0,"277_2013-02-03"
"140","3","19","Low","7","0.02","Medium","1","-3.23","Low",0,0,NA,NA,"277_2014-01-04"
"141","3","18","Low","2","-1.14","Low","4","-2.16","Low",1,0,1,0,"278_2014-01-06"
"142","3","20","Low","1","-1.73","Low","1","-3.93","Low",0,0,0,0,"279_2013-10-25"
"143","1","15","Low","1","-1.48","Low","1","-2.98","Low",0,0,1,1,"281_2013-06-11"
"144","5","23","Medium","4","-0.73","Low","3","-2.31","Low",1,1,1,0,"282_2014-02-17"
"145","3","20","Low","10","0.65","High","7","-1.48","Medium",1,0,1,0,"286_2013-08-28"
"146","8","30","High","9","0.46","High","8","-1.09","High",1,1,1,1,"287_2013-12-24"
"147","5","22","Medium","4","-0.67","Low","4","-1.98","Low",1,0,1,0,"288_2014-03-02"
"148","6","25","Medium","3","-1","Low","4","-2.13","Low",0,0,0,0,"291_2013-02-01"
"149","1","13","Low","2","-1.15","Low","1","-2.98","Low",1,0,1,0,"294_2014-01-31"
"150","10","34","High","10","1","High","8","-1.19","High",0,0,0,0,"295_2014-01-12"
"151","2","16","Low","4","-1","Low","4","-2.04","Low",0,0,0,0,"297_2013-08-21"
"152","1","13","Low","3","-0.94","Low","1","-3","Low",1,0,1,0,"298_2014-01-28"
"153","3","19","Low","1","-2.39","Low","1","-3.93","Low",0,0,0,0,"299_2013-09-16"
"154","6","24","Medium","3","-1.12","Low","1","-3.39","Low",0,0,0,0,"300_2013-11-08"
"155","3","20","Low","4","-0.58","Low","4","-2.2","Low",0,0,0,0,"301_2013-01-06"
"156","1","15","Low","10","0.87","High","8","-1.14","High",1,0,1,0,"306_2013-04-18"
"157","3","20","Low","2","-1.17","Low","3","-2.48","Low",0,0,0,0,"308_2013-03-26"
"158","7","26","Medium","8","-0.09","High","6","-1.53","Medium",0,0,0,0,"310_2013-10-29"
"159","2","17","Low","9","0.14","High","6","-1.73","Medium",1,1,1,0,"313_2013-10-10"
"160","1","13","Low","1","-1.84","Low","1","-3.26","Low",0,0,0,0,"315_2013-03-20"
"161","2","17","Low","9","0.14","High","7","-1.38","Medium",0,0,0,0,"317_2013-01-02"
"162","4","21","Low","7","0.06","Medium","8","-1.2","High",0,0,0,0,"318_2013-01-18"
"163","1","15","Low","1","-2.73","Low","1","-4.11","Low",1,0,1,0,"319_2013-03-20"
"164","7","26","Medium","9","0.34","High","3","-2.41","Low",0,0,0,0,"320_2013-02-19"
"165","3","19","Low","2","-1.14","Low","3","-2.52","Low",0,0,0,0,"323_2013-01-04"
"166","1","11","Low","1","-2.51","Low","1","-4.05","Low",1,1,1,1,"326_2014-01-13"
"167","2","17","Low","2","-1.05","Low","2","-2.9","Low",0,0,0,0,"327_2013-10-31"
"168","1","14","Low","1","-1.48","Low","1","-3.33","Low",1,0,1,0,"329_2013-01-07"
"169","1","13","Low","1","-2.3","Low","1","-3.83","Low",0,0,0,0,"330_2013-01-13"
"170","2","17","Low","7","-0.3","Medium","4","-2.06","Low",0,0,0,0,"332_2013-05-13"
"171","4","21","Low","6","-0.37","Medium","3","-2.25","Low",0,0,0,0,"333_2013-11-05"
"172","3","20","Low","10","0.69","High","9","-0.65","High",1,1,1,0,"334_2013-04-24"
"173","1","12","Low","1","-1.72","Low","1","-3.29","Low",0,0,1,1,"335_2013-02-17"
"174","8","30","High","9","0.54","High","9","-0.83","High",0,0,0,0,"337_2013-05-07"
"175","4","21","Low","9","0.46","High","5","-1.8","Medium",0,0,0,0,"338_2013-05-09"
"176","1","11","Low","1","-1.81","Low","1","-3.35","Low",0,0,0,0,"344_2014-01-25"
"177","1","13","Low","1","-1.77","Low","1","-3.57","Low",0,0,0,0,"345_2013-05-16"
"178","5","22","Medium","4","-0.53","Low","1","-2.95","Low",1,1,1,0,"347_2013-02-20"
"179","6","25","Medium","4","-0.67","Low","3","-2.3","Low",0,0,0,0,"348_2014-02-04"
"180","3","18","Low","5","-0.44","Medium","3","-2.28","Low",0,0,0,0,"351_2013-09-27"
"181","2","16","Low","4","-0.74","Low","6","-1.7","Medium",0,0,0,0,"354_2013-02-22"
"182","1","14","Low","2","-1.04","Low","2","-2.77","Low",0,0,0,0,"355_2013-03-05"
"183","1","12","Low","4","-0.61","Low","4","-2.2","Low",1,0,0,0,"356_2013-11-03"
"184","9","33","High","9","0.57","High","8","-1.06","High",0,0,0,0,"359_2013-12-17"
"185","3","18","Low","1","-2.45","Low","1","-3.92","Low",0,0,0,0,"361_2013-01-16"
"186","6","24","Medium","5","-0.34","Medium","3","-2.33","Low",1,0,1,0,"363_2013-04-11"
"187","3","19","Low","3","-0.88","Low","4","-2.12","Low",0,0,0,0,"364_2013-09-06"
"188","3","19","Low","8","0.21","High","7","-1.45","Medium",1,1,1,0,"366_2013-01-31"
"189","2","16","Low","1","-1.96","Low","1","-3.44","Low",0,0,0,0,"369_2013-12-09"
"190","2","16","Low","2","-1.41","Low","1","-3.07","Low",0,0,0,0,"372_2013-10-23"
"191","6","24","Medium","7","-0.01","Medium","9","-0.78","High",1,1,1,1,"374_2014-03-11"
"192","1","13","Low","2","-1.55","Low","2","-2.88","Low",0,0,0,0,"379_2013-03-09"
"193","1","13","Low","6","-0.23","Medium","4","-2","Low",1,1,1,0,"381_2013-01-31"
"194","1","14","Low","8","0.15","High","5","-1.84","Medium",0,0,NA,NA,"381_2013-04-24"
"195","1","14","Low","5","-0.65","Medium","7","-1.37","Medium",1,0,1,0,"382_2014-03-12"
"196","1","14","Low","8","0.14","High","7","-1.45","Medium",0,0,0,0,"383_2013-02-04"
"197","1","12","Low","8","0.16","High","7","-1.41","Medium",1,1,1,1,"385_2013-11-18"
"198","1","14","Low","8","0.22","High","7","-1.47","Medium",0,0,NA,NA,"385_2014-03-03"
"199","1","15","Low","6","-0.21","Medium","5","-1.84","Medium",1,1,1,0,"386_2013-02-14"
"200","1","13","Low","1","-1.94","Low","1","-3.41","Low",0,0,0,0,"389_2013-03-12"
"201","2","16","Low","8","0.18","High","6","-1.5","Medium",0,0,0,0,"396_2014-02-19"
"202","2","16","Low","7","-0.02","Medium","6","-1.56","Medium",0,0,0,0,"398_2013-04-20"
"203","1","13","Low","1","-1.92","Low","1","-3.59","Low",0,0,0,0,"399_2013-08-02"
"204","1","14","Low","2","-1.47","Low","3","-2.49","Low",0,0,0,0,"402_2013-11-13"
"205","2","16","Low","5","-0.41","Medium","4","-2.14","Low",0,0,0,0,"404_2013-04-20"
"206","9","31","High","6","-0.19","Medium","7","-1.48","Medium",1,1,1,1,"405_2013-04-08"
"207","3","18","Low","10","0.66","High","7","-1.27","Medium",1,0,1,0,"407_2013-01-11"
"208","3","18","Low","10","0.81","High","8","-1.08","High",1,0,NA,NA,"407_2013-12-18"
"209","1","11","Low","3","-1.07","Low","4","-2.22","Low",0,0,0,0,"408_2013-12-31"
"210","1","15","Low","3","-1.29","Low","1","-3.12","Low",0,0,0,0,"411_2013-08-05"
"211","2","16","Low","2","-1.37","Low","3","-2.49","Low",0,0,0,0,"414_2014-01-29"
"212","8","28","High","7","0.01","Medium","3","-2.44","Low",0,0,0,0,"415_2013-04-11"
"213","7","27","Medium","6","-0.28","Medium","2","-2.68","Low",1,1,1,0,"416_2013-12-10"
"214","6","24","Medium","8","0.09","High","2","-2.58","Low",0,0,NA,NA,"416_2014-01-23"
"215","1","13","Low","1","-2","Low","1","-3.54","Low",0,0,0,0,"417_2013-04-05"
"216","8","28","High","1","-1.85","Low","1","-3.35","Low",0,0,0,0,"425_2013-04-18"
"217","1","15","Low","9","0.43","High","7","-1.34","Medium",1,1,1,0,"429_2013-03-04"
"218","2","16","Low","4","-0.73","Low","4","-2.11","Low",0,0,0,0,"432_2014-01-20"
"219","2","16","Low","4","-0.58","Low","4","-2.09","Low",0,0,0,0,"435_2013-12-04"
"220","2","17","Low","5","-0.49","Medium","5","-1.94","Medium",1,0,1,0,"437_2014-02-27"
"221","2","16","Low","4","-0.66","Low","2","-2.59","Low",1,0,1,0,"438_2013-01-31"
"222","2","17","Low","3","-0.89","Low","1","-3.17","Low",1,0,1,0,"440_2013-11-05"
"223","2","17","Low","5","-0.48","Medium","1","-2.97","Low",0,0,NA,NA,"440_2014-03-21"
"224","5","22","Medium","3","-0.76","Low","5","-1.96","Medium",0,0,0,0,"441_2013-04-09"
"225","3","18","Low","3","-0.89","Low","1","-3.84","Low",0,0,0,0,"445_2013-02-23"
"226","1","11","Low","6","-0.53","Medium","7","-1.29","Medium",0,0,0,0,"446_2013-01-01"
"227","9","33","High","8","0.29","High","3","-2.32","Low",0,0,0,0,"448_2013-04-28"
"228","1","13","Low","8","0.1","High","5","-1.8","Medium",1,0,1,0,"451_2013-12-06"
"229","1","15","Low","1","-2.77","Low","1","-4.35","Low",0,0,0,0,"452_2013-01-05"
"230","5","23","Medium","3","-0.97","Low","1","-3.15","Low",0,0,0,0,"456_2013-12-02"
"231","1","14","Low","2","-1.34","Low","1","-3.41","Low",1,1,1,0,"457_2013-08-16"
"232","1","12","Low","1","-1.89","Low","1","-3.27","Low",0,0,0,0,"459_2013-12-01"
"233","2","17","Low","3","-0.9","Low","5","-1.96","Medium",0,0,0,0,"461_2013-12-31"
"234","5","22","Medium","1","-1.43","Low","2","-2.69","Low",0,0,0,0,"462_2013-04-08"
"235","1","15","Low","1","-1.65","Low","1","-3.2","Low",1,1,1,0,"463_2014-01-02"
"236","3","18","Low","3","-0.9","Low","3","-2.52","Low",1,0,1,0,"464_2013-02-18"
"237","1","13","Low","2","-1.59","Low","1","-2.99","Low",0,0,0,0,"465_2013-05-28"
"238","4","21","Low","10","0.79","High","10","-0.43","High",1,1,1,1,"467_2013-03-16"
"239","1","13","Low","2","-1.28","Low","3","-2.44","Low",0,0,0,0,"468_2014-01-14"
"240","2","17","Low","5","-0.34","Medium","7","-1.31","Medium",0,0,0,0,"473_2013-02-21"
"241","1","11","Low","1","-2.18","Low","1","-3.79","Low",0,0,0,0,"474_2014-03-22"
"242","1","14","Low","1","-2.64","Low","1","-4.2","Low",0,0,0,0,"475_2013-12-11"
"243","1","14","Low","9","0.39","High","8","-1.13","High",1,0,1,0,"480_2014-01-11"
"244","4","21","Low","5","-0.48","Medium","3","-2.31","Low",0,0,0,0,"484_2013-02-22"
"245","6","25","Medium","9","0.46","High","9","-0.77","High",1,1,1,1,"485_2013-03-26"
"246","1","15","Low","3","-0.75","Low","4","-2.08","Low",1,1,1,1,"489_2013-10-04"
"247","2","16","Low","1","-2.2","Low","1","-3.71","Low",0,0,0,0,"493_2013-03-13"
"248","5","22","Medium","5","-0.33","Medium","6","-1.64","Medium",0,0,1,0,"494_2013-08-02"
"249","6","24","Medium","7","-0.2","Medium","5","-1.79","Medium",0,0,0,0,"495_2013-05-06"
"250","1","11","Low","4","-0.94","Low","4","-2.2","Low",1,0,1,0,"496_2013-01-11"
"251","3","18","Low","3","-1.03","Low","4","-2.1","Low",0,0,1,0,"497_2013-04-04"
"252","2","17","Low","5","-0.38","Medium","3","-2.44","Low",1,0,0,0,"499_2014-03-03"
"253","2","16","Low","8","0.1","High","7","-1.28","Medium",1,0,1,0,"500_2013-04-25"
"254","3","20","Low","3","-0.8","Low","3","-2.5","Low",0,0,0,0,"501_2013-12-23"
"255","1","13","Low","3","-0.86","Low","4","-2.04","Low",0,0,0,0,"502_2014-03-13"
"256","1","13","Low","1","-1.45","Low","2","-2.82","Low",0,0,0,0,"505_2014-03-02"
"257","4","20","Low","6","-0.38","Medium","2","-2.58","Low",0,0,0,0,"509_2013-03-22"
"258","3","19","Low","1","-1.9","Low","1","-3.73","Low",0,0,0,0,"510_2013-12-27"
"259","1","13","Low","6","-0.15","Medium","5","-1.88","Medium",0,0,0,0,"517_2014-01-31"
"260","4","21","Low","3","-0.84","Low","2","-2.94","Low",1,0,0,0,"518_2013-03-25"
"261","1","13","Low","1","-1.56","Low","1","-2.98","Low",0,0,0,0,"522_2014-02-25"
"262","5","23","Medium","8","0.09","High","6","-1.71","Medium",1,0,0,0,"524_2014-02-01"
"263","1","12","Low","1","-2.08","Low","1","-3.53","Low",0,0,0,0,"525_2013-11-27"
"264","1","13","Low","6","-0.38","Medium","8","-1.25","High",0,0,0,0,"526_2013-02-21"
"265","1","13","Low","1","-2.68","Low","1","-4.3","Low",0,0,0,0,"527_2013-01-31"
"266","3","20","Low","10","0.62","High","10","-0.45","High",1,1,1,0,"531_2013-10-07"
"267","4","21","Low","4","-0.6","Low","5","-1.83","Medium",0,0,0,0,"532_2013-12-09"
"268","3","18","Low","5","-0.8","Medium","5","-1.96","Medium",1,0,1,0,"533_2013-04-24"
"269","5","23","Medium","5","-0.48","Medium","4","-2.12","Low",0,0,0,0,"537_2013-10-15"
"270","1","14","Low","4","-0.53","Low","3","-2.55","Low",0,0,1,0,"538_2013-01-30"
"271","6","23","Medium","1","-2.4","Low","1","-4.08","Low",0,0,0,0,"540_2013-10-14"
"272","2","17","Low","10","1","High","10","-0.39","High",1,0,1,0,"542_2013-05-06"
"273","2","16","Low","3","-0.97","Low","2","-2.91","Low",0,0,0,0,"546_2013-04-22"
"274","6","24","Medium","4","-0.61","Low","3","-2.29","Low",0,0,0,0,"547_2013-05-04"
"275","1","11","Low","3","-0.82","Low","6","-1.53","Medium",0,0,1,0,"548_2013-06-17"
"276","1","12","Low","6","-0.3","Medium","5","-1.83","Medium",1,0,1,0,"552_2013-09-09"
"277","3","18","Low","9","0.55","High","6","-1.62","Medium",1,1,1,0,"557_2013-10-22"
"278","1","13","Low","1","-1.44","Low","1","-3.01","Low",0,0,0,0,"560_2014-01-17"
"279","3","18","Low","1","-1.71","Low","1","-3.21","Low",0,0,0,0,"561_2014-02-04"
